SYMBOL,degree,is_biomarker,Source
KLRF1,6,0,
LDB3,6,0,
MASP1,6,0,
MMP12,6,0,
MMRN2,6,0,
MNDA,6,0,
MUC5B,6,0,
NOS1,6,0,
PTX3,6,0,
RAMP2,6,0,
RAMP3,6,0,
SALL4,6,0,
SCGB1A1,6,0,
SCGB3A2,6,0,
SERPIND1,6,0,
SLIT2,6,0,
SSTR1,6,0,
TAL1,6,0,
TGM1,6,0,
UGT2B4,6,0,
APC,4,1,http://lcbd.biomarkerdb.com/home
C6,4,1,http://lcbd.biomarkerdb.com/home
CYP24A1,4,1,http://lcbd.biomarkerdb.com/home
FHIT,4,1,http://lcbd.biomarkerdb.com/home
HYAL2,4,1,http://lcbd.biomarkerdb.com/home
LRIG3,4,1,http://lcbd.biomarkerdb.com/home
MTHFR,4,1,http://lcbd.biomarkerdb.com/home
PRKCI,4,1,http://lcbd.biomarkerdb.com/home
SERPINA1,4,1,http://lcbd.biomarkerdb.com/home
VIPR1,4,1,http://lcbd.biomarkerdb.com/home
ADCY8,4,0,
ADGRL2,4,0,
ADGRL3,4,0,
ADRB1,4,0,
AGR2,4,0,
AGTR2,4,0,
ATP1A2,4,0,
CA3,4,0,
CA4,4,0,
CALCRL,4,0,
CASQ2,4,0,
CAVIN2,4,0,
CD1A,4,0,
CD207,4,0,
CD93,4,0,
CDKN2B,4,0,
CLDN11,4,0,
CP,4,0,
CRYAB,4,0,
CTNND2,4,0,
DACH1,4,0,
DAPK1,4,0,
DDX53,4,0,
EDNRB,4,0,
EFEMP1,4,0,
FABP4,4,0,
FCN3,4,0,
FGFBP2,4,0,
FLRT3,4,0,
FRAS1,4,0,
FXYD1,4,0,
GNG11,4,0,
GPER1,4,0,
GREM1,4,0,
GUCY1A2,4,0,
HSD17B6,4,0,
IL1RL1,4,0,
KRT6A,4,0,
LDB2,4,0,
MDK,4,0,
MFAP4,4,0,
MUC16,4,0,
MUC20,4,0,
NMU,4,0,
NPNT,4,0,
NQO1,4,0,
PDE5A,4,0,
PIP5K1B,4,0,
PLA2G1B,4,0,
PPP1R15A,4,0,
PROK2,4,0,
RAPGEF4,4,0,
RARA,4,0,
RECK,4,0,
RSPO1,4,0,
S100A3,4,0,
S1PR1,4,0,
SCN1A,4,0,
SCNN1G,4,0,
SCUBE3,4,0,
SGPP2,4,0,
SIX1,4,0,
SIX4,4,0,
SMAD9,4,0,
SOCS2,4,0,
SPRR1A,4,0,
SPTBN1,4,0,
SRD5A1,4,0,
ST6GALNAC5,4,0,
STX11,4,0,
SULF1,4,0,
TFAP2A,4,0,
TGFBR3,4,0,
UGT8,4,0,
UNC5CL,4,0,
ZBTB16,4,0,
CAT,2,1,http://lcbd.biomarkerdb.com/home
CEBPG,2,1,http://lcbd.biomarkerdb.com/home
CLDN18,2,1,http://lcbd.biomarkerdb.com/home
CSTA,2,1,http://lcbd.biomarkerdb.com/home
DCC,2,1,http://lcbd.biomarkerdb.com/home
GPIHBP1,2,1,http://lcbd.biomarkerdb.com/home
GPT2,2,1,http://lcbd.biomarkerdb.com/home
LAPTM4B,2,1,http://lcbd.biomarkerdb.com/home
PITX2,2,1,http://lcbd.biomarkerdb.com/home
S100P,2,1,http://lcbd.biomarkerdb.com/home
SHOX2,2,1,http://lcbd.biomarkerdb.com/home
TCF21,2,1,http://lcbd.biomarkerdb.com/home
ABCA12,2,0,
ABCA4,2,0,
ABCC3,2,0,
ADAM12,2,0,
ADAMTS1,2,0,
AKR1B10,2,0,
ALKAL2,2,0,
AOC1,2,0,
ARSL,2,0,
ASPA,2,0,
B3GNT3,2,0,
BMPER,2,0,
BPIFA1,2,0,
BTNL9,2,0,
CD300LG,2,0,
CDH19,2,0,
CDO1,2,0,
CEACAM1,2,0,
CEBPD,2,0,
CFD,2,0,
CLEC14A,2,0,
COL17A1,2,0,
COL6A6,2,0,
CRABP2,2,0,
CSPG4,2,0,
CSRNP1,2,0,
CTHRC1,2,0,
DKK2,2,0,
DLC1,2,0,
DUOX1,2,0,
EPB41L3,2,0,
EPHA10,2,0,
EPHB2,2,0,
EPN3,2,0,
ERG,2,0,
ERO1A,2,0,
ERVFRD-1,2,0,
ETV4,2,0,
FCRLA,2,0,
FOXE1,2,0,
FPR2,2,0,
FUT2,2,0,
GDF15,2,0,
GFRA3,2,0,
GJB2,2,0,
GJB6,2,0,
GOLM1,2,0,
GPD1,2,0,
HABP2,2,0,
HAS1,2,0,
HBB,2,0,
HGD,2,0,
HS6ST2,2,0,
HSPA12B,2,0,
HYAL1,2,0,
IGF2BP3,2,0,
IL37,2,0,
INMT,2,0,
KCNK5,2,0,
KISS1R,2,0,
KL,2,0,
KLB,2,0,
KLF6,2,0,
KRT15,2,0,
LAMP3,2,0,
LGR4,2,0,
LIN7A,2,0,
MAFF,2,0,
MAP3K8,2,0,
MARCO,2,0,
MFAP5,2,0,
MMRN1,2,0,
NEBL,2,0,
NFIB,2,0,
NOSTRIN,2,0,
NRN1,2,0,
PCOLCE2,2,0,
PDZD2,2,0,
PSAT1,2,0,
PTGDS,2,0,
QKI,2,0,
RASAL1,2,0,
RGCC,2,0,
RHOJ,2,0,
RMI2,2,0,
RPSA,2,0,
RS1,2,0,
S100A2,2,0,
SCEL,2,0,
SCG5,2,0,
SCN7A,2,0,
SH2D3C,2,0,
SHANK3,2,0,
SLC6A4,2,0,
SLCO1A2,2,0,
SNTN,2,0,
SPDEF,2,0,
SPINK1,2,0,
ST6GALNAC1,2,0,
SYN2,2,0,
SYNPO2,2,0,
TRPM8,2,0,
USHBP1,2,0,
WIF1,2,0,
