from	to
MLH1	TGFBR2
MLH1	RASSF1
MLH1	XRCC1
MLH1	PTEN
MME	PAX8
MME	TAC1
MMP1	MMP11
MMP1	MMP7
MMP1	MMP3
MMP1	PTGS2
MMP1	MMP9
MMP11	MMP7
MMP12	MMP7
MMP12	MMP3
MMP3	MMP7
MMP3	MMP9
MMP3	SPP1
MMP7	MMP9
MMP7	SPP1
MMP9	VWF
MMP9	SCUBE3
MMP9	THBS2
MMP9	PTGS2
MMP9	S100A12
MMP9	PTEN
MMP9	MYC
MMP9	PECAM1
MMP9	RECK
MMP9	SPP1
MMRN2	ROBO4
MTHFR	TYMS
MUC16	MUC20
MUC16	MUC5B
MUC20	MUC5B
MYC	SOX2
MYC	PTGS2
MYC	PTEN
MYC	RUNX3
MYC	TFAP2A
NEDD4L	SCNN1G
NEDD4L	SFN
NEK2	TPX2
NEK2	UBE2C
NEK2	RRM2
NEK2	ZWINT
NEK2	TTK
NEK2	NUSAP1
NEK2	TOP2A
NKG7	PRF1
NOS1	XDH
NR4A1	NR4A2
NR4A1	NR4A3
NR4A2	SNCA
NR4A2	NR4A3
NUSAP1	PCLAF
NUSAP1	TPX2
NUSAP1	TYMS
NUSAP1	UBE2C
NUSAP1	RRM2
NUSAP1	TTK
NUSAP1	ZWINT
NUSAP1	TOP2A
NUSAP1	TK1
PCLAF	TPX2
PCLAF	UBE2T
PCLAF	TTK
PCLAF	TK1
PCLAF	UHRF1
PCLAF	TYMS
PCLAF	RRM2
PCLAF	ZWINT
PCLAF	TOP2A
PCLAF	UBE2C
PECAM1	VWF
PECAM1	SELE
PECAM1	TIE1
PECAM1	TEK
PIP5K1B	PLCB4
PIP5K1B	PTEN
PLA2G1B	PTGS2
PLA2G1B	PLA2G4A
PLA2G4A	PTGS2
PLCB4	PTEN
PLPP2	UGT8
PLPP2	SGPP2
PPBP	VWF
PRF1	STX11
PRKCI	PTEN
PTEN	SOX2
PTGS2	XDH
PTPRB	TIE1
PTPRB	TEK
RAMP2	RAMP3
RAMP2	VIPR1
RAMP3	VIPR1
RARA	ZBTB16
RECK	SPARC
ROBO4	SLIT2
RRM2	TPX2
RRM2	TYMS
RRM2	UBE2C
RRM2	TTK
RRM2	UHRF1
RRM2	TK1
RRM2	ZWINT
RRM2	TOP2A
RUNX3	SPP1
S100A10	S100A3
S100A12	S100A8
SALL4	TBX3
SALL4	SOX2
SCGB1A1	SFTPD
SCGB1A1	SFTPC
SCGB1A1	SCGB3A2
SCGB3A2	SFTPC
SCN1A	SCN4B
SCN4B	SCNN1G
SCUBE3	TGFBR2
SELE	VWF
SELE	THBD
SERPIND1	THBD
SFN	TP63
SFTPC	SFTPD
SGPP2	UGT8
SH3GL2	SH3GL3
SNCA	SOD1
SOCS2	SOCS3
SOX2	TBX3
SOX2	TP63
SPARC	THBS2
SPARC	VWF
SPARC	SPP1
SPP1	VWF
SPP1	THBS2
SPRR1A	TGM1
SRD5A1	UGT2B4
TEK	VWF
TEK	TIE1
TGFBR2	TGFBR3
THBD	VWF
TK1	TPX2
TK1	TYMS
TK1	UBE2C
TK1	ZWINT
TK1	TOP2A
TK1	UBE2T
TOP2A	TPX2
TOP2A	TYMS
TOP2A	UBE2C
TOP2A	TTK
TOP2A	ZWINT
TOP2A	UHRF1
TPX2	UBE2T
TPX2	ZWINT
TPX2	TTK
TPX2	UBE2C
TTK	UBE2C
TTK	ZWINT
TYMS	ZWINT
TYMS	UBE2C
UBE2C	UBE2T
UBE2C	ZWINT
UBE2T	ZWINT
UBE2T	UHRF1
UHRF1	ZWINT
