from	to
DEPDC1	NEK2
DEPDC1	TTK
DEPDC1	KIF4A
DEPDC1	HMMR
DEPDC1	KIF20A
DEPDC1	TOP2A
DEPDC1	NUSAP1
DEPDC1	HJURP
DEPDC1B	DLGAP5
DEPDC1B	UBE2T
DEPDC1B	NEK2
DEPDC1B	KIF20A
DEPDC1B	HMMR
DLG3	GRIA1
DLG3	NEDD4L
DLGAP5	GINS2
DLGAP5	EXO1
DLGAP5	E2F8
DLGAP5	TK1
DLGAP5	PCLAF
DLGAP5	ZWINT
DLGAP5	HJURP
DLGAP5	RRM2
DLGAP5	KIF4A
DLGAP5	NEK2
DLGAP5	NUSAP1
DLGAP5	UBE2C
DLGAP5	KIF20A
DLGAP5	TTK
DLGAP5	TPX2
DLGAP5	TOP2A
DLGAP5	MELK
DLGAP5	HMMR
E2F1	E2F8
E2F1	EGFR
E2F1	TYMS
E2F1	RRM2
E2F1	TK1
E2F1	PTEN
E2F1	MYC
E2F8	TK1
E2F8	KIF20A
E2F8	MELK
E2F8	NEK2
E2F8	ZWINT
E2F8	HJURP
E2F8	TTK
E2F8	RRM2
E2F8	TOP2A
EDN1	VWF
EDN1	FGF2
EDN1	EGF
EDN1	SSTR1
EDN1	MMP9
EDN1	EDNRB
EDN1	IL6
EDNRB	GDNF
EFEMP1	EGFR
EFEMP1	MFAP4
EFNA4	ERBB2
EFNA4	EGFR
EFNA4	MET
EGF	HBEGF
EGF	KRAS
EGF	VWF
EGF	FGF2
EGF	SH3GL2
EGF	IL7R
EGF	SPP1
EGF	SOX2
EGF	SH3GL3
EGF	GDNF
EGF	MMP9
EGF	GHR
EGF	PTEN
EGF	MMP1
EGF	FGFR4
EGF	TAC1
EGF	LIFR
EGF	MYC
EGF	RSPO1
EGF	IL6
EGF	TEK
EGF	MET
EGF	ERBB2
EGF	EGFR
EGFR	HBEGF
EGFR	KRAS
EGFR	EPAS1
EGFR	FGF2
EGFR	ERBB2
EGFR	GSTP1
EGFR	PLCB4
EGFR	SNCA
EGFR	MMP3
EGFR	SOX2
EGFR	FCGR3A
EGFR	LRIG3
EGFR	SPP1
EGFR	NEDD4L
EGFR	S100A10
EGFR	MGMT
EGFR	MMP9
EGFR	PTGS2
EGFR	SOCS3
EGFR	GPER1
EGFR	MYC
EGFR	SH3GL3
EGFR	SFN
EGFR	PTEN
EGFR	SH3GL2
EGFR	IL6
EGFR	MET
EGR1	IL6
EGR1	PTEN
EGR1	NR4A2
EGR1	MYC
EGR1	NR4A1
EGR1	EGR3
EGR1	FOSB
EGR3	FOSB
EGR3	NR4A3
EGR3	NR4A1
EMCN	LYVE1
EMCN	TEK
EMCN	PECAM1
EPAS1	KLF4
EPAS1	SOX2
EPAS1	MYC
ERBB2	HBEGF
ERBB2	KRAS
ERBB2	FGF2
ERBB2	NTRK3
ERBB2	IL6
ERBB2	FCGR3B
ERBB2	PTGS2
ERBB2	FGFR4
ERBB2	FCGR3A
ERBB2	MET
ERBB2	PTEN
ERBB2	MYC
ERCC4	MLH1
ERCC4	XRCC1
ERCC4	EXO1
ERCC4	UBE2T
ERCC4	ERCC5
ERCC5	MLH1
ERCC5	XRCC1
ESAM	VWF
ESAM	PECAM1
ESAM	SELE
EXO1	MLH1
EXO1	XRCC1
EXO1	MELK
EXO1	TPX2
EXO1	MGMT
EXO1	TYMS
EXO1	RRM2
EXO1	ZWINT
EXO1	NUSAP1
EXO1	HJURP
EXO1	TOP2A
EXO1	RAD54L
EXO1	TTK
EYA4	SIX4
EYA4	SIX1
FABP4	LPL
FCGR3A	GZMB
FCGR3A	IL7R
FCGR3A	KLRD1
FCGR3A	PECAM1
FCGR3A	IL6
FCGR3A	LILRB2
FCGR3A	MNDA
FCGR3A	PRF1
FCGR3A	FCGR3B
FCGR3B	GZMB
FCGR3B	IL7R
FCGR3B	KLRD1
FCGR3B	MNDA
FCGR3B	S100A12
FCGR3B	IL6
FCGR3B	PRF1
FCGR3B	PECAM1
FCN1	FCN3
FCN1	PTX3
FCN1	MASP1
FCN3	MASP1
FGF2	HBEGF
FGF2	KRAS
FGF2	TIE1
FGF2	GPC3
