"automated_textmining","coexpression","combined_score","database_annotated","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"0.703","0.149","0.862","0.5","0.0","0.0","0.0","interacts with","ANK2 (interacts with) SCN4B","0.0","9606.ENSP00000349588","9606.ENSP00000322460","0.0","false","interacts with","ANK2 (interacts with) SCN4B"
"0.8","0.0","0.8","0.0","0.0","0.0","0.0","interacts with","ANK2 (interacts with) TRPM8","0.0","9606.ENSP00000349588","9606.ENSP00000323926","0.0","false","interacts with","ANK2 (interacts with) TRPM8"
"0.99","0.092","0.997","0.5","0.423","0.0","0.0","interacts with","ANK2 (interacts with) SPTBN1","0.0","9606.ENSP00000349588","9606.ENSP00000349259","0.0","false","interacts with","ANK2 (interacts with) SPTBN1"
"0.523","0.828","0.914","0.0","0.0","0.0","0.0","interacts with","ANLN (interacts with) DLGAP5","0.0","9606.ENSP00000265748","9606.ENSP00000247191","0.0","false","interacts with","ANLN (interacts with) DLGAP5"
"0.657","0.607","0.86","0.0","0.0","0.0","0.0","interacts with","ANLN (interacts with) CCNB1","0.0","9606.ENSP00000265748","9606.ENSP00000256442","0.0","false","interacts with","ANLN (interacts with) CCNB1"
"0.2","0.502","0.74","0.4","0.0","0.0","0.0","interacts with","ANLN (interacts with) DEPDC1B","0.0","9606.ENSP00000265748","9606.ENSP00000265036","0.0","false","interacts with","ANLN (interacts with) DEPDC1B"
"0.456","0.472","0.701","0.0","0.0","0.0","0.0","interacts with","ANLN (interacts with) CDC20","0.0","9606.ENSP00000265748","9606.ENSP00000361540","0.0","false","interacts with","ANLN (interacts with) CDC20"
"0.374","0.546","0.704","0.0","0.0","0.0","0.0","interacts with","ANLN (interacts with) TTK","0.0","9606.ENSP00000265748","9606.ENSP00000358813","0.0","false","interacts with","ANLN (interacts with) TTK"
"0.421","0.523","0.712","0.0","0.0","0.0","0.0","interacts with","ANLN (interacts with) NUSAP1","0.0","9606.ENSP00000265748","9606.ENSP00000499238","0.0","false","interacts with","ANLN (interacts with) NUSAP1"
"0.517","0.462","0.729","0.0","0.0","0.0","0.0","interacts with","ANLN (interacts with) TYMS","0.0","9606.ENSP00000265748","9606.ENSP00000315644","0.0","false","interacts with","ANLN (interacts with) TYMS"
"0.37","0.614","0.747","0.0","0.0","0.0","0.0","interacts with","ANLN (interacts with) CCNA2","0.0","9606.ENSP00000265748","9606.ENSP00000481380","0.0","false","interacts with","ANLN (interacts with) CCNA2"
"0.541","0.487","0.754","0.0","0.0","0.0","0.0","interacts with","ANLN (interacts with) EXO1","0.0","9606.ENSP00000265748","9606.ENSP00000355506","0.0","false","interacts with","ANLN (interacts with) EXO1"
"0.584","0.476","0.773","0.0","0.0","0.0","0.0","interacts with","ANLN (interacts with) UBE2C","0.0","9606.ENSP00000265748","9606.ENSP00000348838","0.0","false","interacts with","ANLN (interacts with) UBE2C"
"0.527","0.399","0.781","0.0","0.292","0.0","0.0","interacts with","ANLN (interacts with) BIRC5","0.0","9606.ENSP00000265748","9606.ENSP00000301633","0.0","false","interacts with","ANLN (interacts with) BIRC5"
"0.52","0.565","0.782","0.0","0.0","0.0","0.0","interacts with","ANLN (interacts with) KIF4A","0.0","9606.ENSP00000265748","9606.ENSP00000363524","0.0","false","interacts with","ANLN (interacts with) KIF4A"
"0.645","0.42","0.785","0.0","0.0","0.0","0.0","interacts with","ANLN (interacts with) RRM2","0.0","9606.ENSP00000265748","9606.ENSP00000353770","0.0","false","interacts with","ANLN (interacts with) RRM2"
"0.463","0.484","0.787","0.0","0.292","0.0","0.0","interacts with","ANLN (interacts with) NEK2","0.0","9606.ENSP00000265748","9606.ENSP00000355966","0.0","false","interacts with","ANLN (interacts with) NEK2"
"0.475","0.479","0.789","0.0","0.292","0.0","0.0","interacts with","ANLN (interacts with) CDCA8","0.0","9606.ENSP00000265748","9606.ENSP00000362146","0.0","false","interacts with","ANLN (interacts with) CDCA8"
"0.376","0.693","0.8","0.0","0.0","0.0","0.0","interacts with","ANLN (interacts with) BUB1B","0.0","9606.ENSP00000265748","9606.ENSP00000287598","0.0","false","interacts with","ANLN (interacts with) BUB1B"
"0.608","0.587","0.831","0.0","0.0","0.0","0.0","interacts with","ANLN (interacts with) MELK","0.0","9606.ENSP00000265748","9606.ENSP00000298048","0.0","false","interacts with","ANLN (interacts with) MELK"
"0.515","0.578","0.842","0.0","0.292","0.0","0.0","interacts with","ANLN (interacts with) CENPF","0.0","9606.ENSP00000265748","9606.ENSP00000355922","0.0","false","interacts with","ANLN (interacts with) CENPF"
"0.353","0.774","0.847","0.0","0.0","0.0","0.0","interacts with","ANLN (interacts with) DEPDC1","0.0","9606.ENSP00000265748","9606.ENSP00000412292","0.0","false","interacts with","ANLN (interacts with) DEPDC1"
"0.533","0.613","0.861","0.0","0.292","0.0","0.0","interacts with","ANLN (interacts with) TOP2A","0.0","9606.ENSP00000265748","9606.ENSP00000411532","0.0","false","interacts with","ANLN (interacts with) TOP2A"
"0.513","0.764","0.88","0.0","0.0","0.0","0.0","interacts with","ANLN (interacts with) HMMR","0.0","9606.ENSP00000265748","9606.ENSP00000377492","0.0","false","interacts with","ANLN (interacts with) HMMR"
"0.48","0.75","0.9","0.0","0.292","0.0","0.0","interacts with","ANLN (interacts with) ASPM","0.0","9606.ENSP00000265748","9606.ENSP00000356379","0.0","false","interacts with","ANLN (interacts with) ASPM"
"0.673","0.774","0.923","0.0","0.0","0.0","0.0","interacts with","ANLN (interacts with) TPX2","0.0","9606.ENSP00000265748","9606.ENSP00000300403","0.0","false","interacts with","ANLN (interacts with) TPX2"
"0.592","0.778","0.93","0.0","0.292","0.0","0.0","interacts with","ANLN (interacts with) CEP55","0.0","9606.ENSP00000265748","9606.ENSP00000360540","0.0","false","interacts with","ANLN (interacts with) CEP55"
"0.607","0.823","0.949","0.0","0.328","0.0","0.0","interacts with","ANLN (interacts with) KIF20A","0.0","9606.ENSP00000265748","9606.ENSP00000378356","0.0","false","interacts with","ANLN (interacts with) KIF20A"
"0.697","0.049","0.7","0.0","0.0","0.017","0.0","interacts with","ANOS1 (interacts with) ARSL","0.0","9606.ENSP00000262648","9606.ENSP00000500220","0.0","false","interacts with","ANOS1 (interacts with) ARSL"
"0.323","0.042","0.781","0.5","0.405","0.0","0.0","interacts with","ANOS1 (interacts with) FGF2","0.0","9606.ENSP00000262648","9606.ENSP00000264498","0.0","false","interacts with","ANOS1 (interacts with) FGF2"
"0.945","0.0","0.945","0.0","0.0","0.0","0.0","interacts with","ANOS1 (interacts with) PROK2","0.0","9606.ENSP00000262648","9606.ENSP00000295619","0.0","false","interacts with","ANOS1 (interacts with) PROK2"
"0.767","0.0","0.776","0.0","0.08","0.0","0.0","interacts with","ANXA1 (interacts with) CDH1","0.0","9606.ENSP00000366109","9606.ENSP00000261769","0.0","false","interacts with","ANXA1 (interacts with) CDH1"
"0.604","0.072","0.802","0.0","0.505","0.0","0.0","interacts with","ANXA1 (interacts with) EGFR","0.0","9606.ENSP00000366109","9606.ENSP00000275493","0.0","false","interacts with","ANXA1 (interacts with) EGFR"
"0.606","0.199","0.828","0.5","0.0","0.0","0.0","interacts with","ANXA1 (interacts with) CXCL8","0.0","9606.ENSP00000366109","9606.ENSP00000306512","0.0","false","interacts with","ANXA1 (interacts with) CXCL8"
"0.507","0.0","0.701","0.0","0.42","0.0","0.0","interacts with","ANXA1 (interacts with) SOX2","0.0","9606.ENSP00000366109","9606.ENSP00000323588","0.0","false","interacts with","ANXA1 (interacts with) SOX2"
"0.61","0.868","0.989","0.8","0.097","0.0","0.936","interacts with","ANXA1 (interacts with) ANXA2","0.0","9606.ENSP00000366109","9606.ENSP00000346032","0.072","false","interacts with","ANXA1 (interacts with) ANXA2"
"0.593","0.138","0.813","0.0","0.51","0.0","0.0","interacts with","ANXA1 (interacts with) PLA2G4A","0.0","9606.ENSP00000366109","9606.ENSP00000356436","0.0","false","interacts with","ANXA1 (interacts with) PLA2G4A"
