ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
212756_s_at	5.61e-02	2.29e-02	2.3040591	-4.472058	0.11527433	UBR2	ubiquitin protein ligase E3 component n-recognin 2
214376_at	5.61e-02	2.29e-02	-2.3039797	-4.472233	-0.13123817	MAPK10	mitogen-activated protein kinase 10
221632_s_at	5.62e-02	2.29e-02	2.3038671	-4.472482	0.10484467	WDR4	WD repeat domain 4
228835_at	5.62e-02	2.29e-02	-2.3038588	-4.4725	-0.19100417		
242003_at	5.62e-02	2.29e-02	-2.3038579	-4.472502	-0.110884	ERICH1	glutamate rich 1
208642_s_at	5.62e-02	2.30e-02	2.3037779	-4.472679	0.13242833	XRCC5	X-ray repair cross complementing 5
221152_at	5.62e-02	2.30e-02	-2.3036975	-4.472857	-0.06918533	COL8A1	collagen type VIII alpha 1 chain
226142_at	5.62e-02	2.30e-02	-2.3036167	-4.473035	-0.36137867	GLIPR1	GLI pathogenesis related 1
239669_at	5.62e-02	2.30e-02	2.3036027	-4.473066	0.0991085		
209520_s_at	5.62e-02	2.30e-02	2.3035117	-4.473267	0.2778335	NCBP1	nuclear cap binding protein subunit 1
204437_s_at	5.62e-02	2.30e-02	-2.3033526	-4.473618	-0.69658867	FOLR1	folate receptor 1
243262_at	5.62e-02	2.30e-02	2.3033045	-4.473724	0.15297883		
233136_at	5.62e-02	2.30e-02	-2.3031376	-4.474093	-0.18032	PABPC5	poly(A) binding protein cytoplasmic 5
227092_at	5.62e-02	2.30e-02	2.3031324	-4.474105	0.19958467	LOC101927752	uncharacterized LOC101927752
208296_x_at	5.63e-02	2.30e-02	2.3030069	-4.474381	0.22950617	TNFAIP8	TNF alpha induced protein 8
230773_at	5.63e-02	2.30e-02	-2.3029037	-4.474609	-0.18042283	ZNF385D	zinc finger protein 385D
212507_at	5.63e-02	2.30e-02	2.3028276	-4.474777	0.18689767	TMEM131	transmembrane protein 131
218549_s_at	5.63e-02	2.30e-02	2.3027919	-4.474856	0.245346	RMDN1	regulator of microtubule dynamics 1
217723_x_at	5.63e-02	2.30e-02	2.3027495	-4.47495	0.13671283	RPS12	ribosomal protein S12
231793_s_at	5.63e-02	2.30e-02	2.3024441	-4.475624	0.44072533	CAMK2D	calcium/calmodulin dependent protein kinase II delta
1557335_at	5.63e-02	2.30e-02	2.3024079	-4.475704	0.08062367		
235314_at	5.63e-02	2.30e-02	2.302272	-4.476004	0.203476	RPL32P3	ribosomal protein L32 pseudogene 3
204390_at	5.63e-02	2.30e-02	2.3021814	-4.476204	0.07289683	TRIM24	tripartite motif containing 24
235109_at	5.64e-02	2.30e-02	-2.3021253	-4.476327	-0.23496867	ZBED3	zinc finger BED-type containing 3
1553749_at	5.64e-02	2.31e-02	-2.3019025	-4.476819	-0.43935917	FAM76B	family with sequence similarity 76 member B
206048_at	5.64e-02	2.31e-02	2.3017905	-4.477066	0.135097	OVOL2	ovo like zinc finger 2
