"SYMBOL","degree","is_biomarker"
"ROS1",6,0
"RPSA",2,0
"RRM2",66,0
"RS1",2,0
"RSPO1",4,0
"RUNX3",10,0
"S100A10",12,0
"S100A12",10,0
"S100A2",2,0
"S100A3",4,0
"S100A8",8,0
"S100P",2,0
"S1PR1",4,0
"SALL4",6,0
"SCEL",2,0
"SCG5",2,0
"SCGB1A1",6,0
"SCGB3A2",6,0
"SCN1A",4,0
"SCN4B",8,0
"SCN7A",2,0
"SCNN1G",4,0
"SCUBE3",4,0
"SELE",22,0
"SERPINA1",4,0
"SERPIND1",6,0
"SFN",18,0
"SFTPC",8,0
"SFTPD",8,0
"SGPP2",4,0
"SH2D3C",2,0
"SH3GL2",10,0
"SH3GL3",14,0
"SHANK3",2,0
"SHOX2",2,0
"SIX1",4,0
"SIX4",4,0
"SLC6A4",2,0
"SLCO1A2",2,0
"SLIT2",6,0
"SMAD9",4,0
"SMTNL2",2,0
"SNCA",16,0
"SNTN",2,0
"SOCS2",4,0
"SOCS3",12,0
"SOD1",10,0
"SOX2",38,0
"SPARC",18,0
"SPDEF",2,0
"SPINK1",2,0
"SPP1",36,0
"SPRR1A",4,0
"SPTBN1",4,0
"SRD5A1",4,0
"SSTR1",6,0
"ST6GALNAC1",2,0
"ST6GALNAC5",4,0
"STX11",4,0
"SULF1",4,0
"SYN2",2,0
"SYNPO2",2,0
"TAC1",8,0
"TAL1",6,0
"TBX3",8,0
"TCF21",2,0
"TEK",28,0
"TFAP2A",4,0
"TGFBR2",16,0
"TGFBR3",4,0
"TGM1",6,0
"THBD",8,0
"THBS2",24,0
"TIE1",14,0
"TK1",52,0
"TOP2A",70,0
"TP63",6,0
"TPX2",62,0
"TRPM8",2,0
"TTK",62,0
"TYMS",46,0
"UBE2C",64,0
"UBE2T",32,0
"UGT2B4",6,0
"UGT8",4,0
"UHRF1",22,0
"UNC5CL",4,0
"USHBP1",2,0
"VIPR1",4,0
"VWF",44,0
"WIF1",2,0
"XDH",10,0
"XRCC1",10,0
"ZBTB16",4,0
"ZWINT",66,0
