ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
237396_at	6.36e-01	3.91e-01	-0.8682768	-6.073212	-0.1731288		
244771_at	6.36e-01	3.91e-01	-0.8682062	-6.073272	-0.2543044	KBTBD12	kelch repeat and BTB domain containing 12
1566689_at	6.36e-01	3.91e-01	0.8681956	-6.073281	0.0617236		
227717_at	6.36e-01	3.91e-01	-0.868183	-6.073292	-0.6703224	ARHGEF37	Rho guanine nucleotide exchange factor 37
223929_s_at	6.36e-01	3.91e-01	0.8681073	-6.073356	0.1521162		
235237_at	6.36e-01	3.91e-01	-0.8680987	-6.073364	-0.086337	VMA21	VMA21 vacuolar H+-ATPase homolog (S. cerevisiae)
222744_s_at	6.36e-01	3.91e-01	-0.8680886	-6.073372	-0.2630835	TMLHE	trimethyllysine hydroxylase, epsilon
216786_at	6.36e-01	3.91e-01	0.8680874	-6.073373	0.0856454	FAM224A	family with sequence similarity 224 member A (non-protein coding)
240683_at	6.36e-01	3.91e-01	0.8680872	-6.073373	0.1373537		
229938_at	6.36e-01	3.91e-01	-0.8680686	-6.073389	-0.0816084	TMEM238	transmembrane protein 238
225788_at	6.36e-01	3.91e-01	0.868043	-6.073411	0.3440523	RRP36	ribosomal RNA processing 36
237798_at	6.36e-01	3.91e-01	-0.8680202	-6.07343	-0.1936338		
212265_at	6.36e-01	3.91e-01	-0.8679946	-6.073452	-0.1717408	QKI	QKI, KH domain containing RNA binding
237743_at	6.36e-01	3.91e-01	0.8679853	-6.07346	0.0761258		
206138_s_at	6.36e-01	3.91e-01	-0.8678296	-6.073593	-0.118631	PI4KB	phosphatidylinositol 4-kinase beta
200988_s_at	6.36e-01	3.92e-01	0.8676674	-6.073731	0.2989261	PSME3	proteasome activator subunit 3
236555_at	6.36e-01	3.92e-01	-0.8676642	-6.073734	-0.2157786	TRAF3IP2-AS1	TRAF3IP2 antisense RNA 1
205543_at	6.36e-01	3.92e-01	0.8674664	-6.073902	0.2812838	HSPA4L	heat shock protein family A (Hsp70) member 4 like
226213_at	6.36e-01	3.92e-01	-0.8674311	-6.073932	-1.0241824	ERBB3	erb-b2 receptor tyrosine kinase 3
