"source","target","weight"
"ADRB2","AKAP12",0.983
"AGPAT2","DGAT2",0.707
"AGPAT2","GPAT3",0.911
"AGPAT2","GPAM",0.926
"AGPAT2","CDS1",0.963
"AGPAT2","GPD1",0.904
"AGPAT2","MBOAT2",0.979
"AGPAT2","PLPP2",0.967
"AGPAT2","CAV1",0.844
"AGPAT2","CAVIN1",0.841
"AGPAT2","PLPP3",0.965
"AGPAT2","PLPP5",0.936
"AGR2","FOXA1",0.85
"AGR2","SPDEF",0.784
"AGR2","ESR1",0.772
"AGR2","TFF3",0.799
"AGTR1","SERPINE1",0.953
"ADRB2","AGTR1",0.873
"AGTR1","CXCL8",0.782
"AHNAK","PYGM",0.77
"AHNAK","EZR",0.958
"AHNAK","PPL",0.963
"AHNAK","AHNAK2",0.944
"AHNAK","ANXA1",0.712
"AHNAK","AHNAK2",0.944
"AIFM2","TP53",0.934
"AIFM2","GPX4",0.817
"AKAP12","HSPA12B",0.774
"AKAP12","EGFR",0.81
"ADRB2","AKAP12",0.983
"AKAP12","PDE4D",0.825
"AKAP12","CAVIN1",0.793
"AKAP12","ANGPT1",0.733
"AKAP12","HSPA12A",0.807
"AKAP9","KCNJ2",0.776
"AKAP9","PRKAR2B",0.902
"AKAP9","SCN4B",0.856
"AKAP9","PDE4D",0.809
"AKR1C1","SRD5A3",0.951
"AKR1C1","SRD5A1",0.975
"AKR1C1","AKR1C3",0.995
"AKR1C3","STS",0.952
"AKR1C3","SRD5A3",0.965
"AKR1C3","SRD5A1",0.986
"AKR1C3","HSD17B6",0.978
"AKR1C1","AKR1C3",0.995
"ALCAM","NT5E",0.868
"ALCAM","EGFR",0.708
"ALCAM","S100B",0.844
"ALCAM","CD9",0.767
"ALCAM","CD24",0.773
"ALCAM","CD34",0.798
"ALDH1A1","CYP26B1",0.964
"ALDH1A1","RDH5",0.945
"ALDH1A1","EPCAM",0.72
