ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
210921_at	1.50e-01	3.61e-02	-2.1276881	-4.506933	-0.3241123	LOC101929078	myb-related transcription factor, partner of profilin-like
205271_s_at	1.50e-01	3.61e-02	2.1275684	-4.507175	0.17565269	CDK20	cyclin dependent kinase 20
217422_s_at	1.50e-01	3.62e-02	-2.126577	-4.509173	-0.33074873	CD22	CD22 molecule
214177_s_at	1.50e-01	3.62e-02	2.1265238	-4.50928	0.17347967	PBXIP1	PBX homeobox interacting protein 1
214829_at	1.50e-01	3.63e-02	2.1261486	-4.510035	0.47072322	AASS	aminoadipate-semialdehyde synthase
212860_at	1.50e-01	3.63e-02	2.1260205	-4.510293	0.39109406	ZDHHC18	zinc finger DHHC-type containing 18
210315_at	1.50e-01	3.63e-02	2.1258081	-4.510721	0.2281498	SYN2	synapsin II
201521_s_at	1.50e-01	3.63e-02	-2.1257887	-4.51076	-0.43525638	NCBP2	nuclear cap binding protein subunit 2
218916_at	1.50e-01	3.63e-02	-2.1253731	-4.511597	-0.17558304	ZNF768///ZNF747	zinc finger protein 768///zinc finger protein 747
217105_at	1.50e-01	3.64e-02	2.125144	-4.512058	0.24526045		
202998_s_at	1.50e-01	3.64e-02	2.1251016	-4.512144	0.21702623	LOXL2	lysyl oxidase like 2
221047_s_at	1.50e-01	3.64e-02	2.1250115	-4.512325	0.26418876	MARK1	microtubule affinity regulating kinase 1
211371_at	1.50e-01	3.64e-02	2.1249991	-4.51235	0.24484282	MAP2K5	mitogen-activated protein kinase kinase 5
213240_s_at	1.50e-01	3.64e-02	2.1249981	-4.512352	0.19366487	KRT4	keratin 4
211879_x_at	1.50e-01	3.64e-02	2.1249967	-4.512355	0.48969702	PCDHGA3	protocadherin gamma subfamily A, 3
202659_at	1.50e-01	3.64e-02	-2.1247862	-4.512779	-0.44724887	PSMB10	proteasome subunit beta 10
221114_at	1.50e-01	3.64e-02	2.1247704	-4.512811	0.2316831	AMBN	ameloblastin
204278_s_at	1.50e-01	3.64e-02	-2.1246993	-4.512954	-0.2809494	EBAG9	estrogen receptor binding site associated, antigen, 9
215538_at	1.50e-01	3.64e-02	2.1246659	-4.513021	0.32328906		
212708_at	1.51e-01	3.64e-02	-2.1243521	-4.513653	-0.28170158	MSL1	male specific lethal 1 homolog
222256_s_at	1.51e-01	3.64e-02	2.1242058	-4.513947	0.17670532	JMJD7///JMJD7-PLA2G4B	jumonji domain containing 7///JMJD7-PLA2G4B readthrough
205833_s_at	1.51e-01	3.64e-02	2.1242043	-4.51395	0.33904875	PART1	prostate androgen-regulated transcript 1 (non-protein coding)
220953_s_at	1.51e-01	3.65e-02	2.1238499	-4.514663	0.26166532	MTMR12	myotubularin related protein 12
215450_at	1.51e-01	3.65e-02	2.1236868	-4.514992	0.28154591	SNRPE	small nuclear ribonucleoprotein polypeptide E
222179_at	1.51e-01	3.65e-02	2.1233817	-4.515605	0.28551969	CDC5L	cell division cycle 5 like
201436_at	1.51e-01	3.65e-02	-2.1231775	-4.516016	-0.18089748	EIF4E	eukaryotic translation initiation factor 4E
209913_x_at	1.51e-01	3.65e-02	2.1230099	-4.516353	0.36484256	MIR4656///AP5Z1	microRNA 4656///adaptor related protein complex 5 zeta 1 subunit
219768_at	1.51e-01	3.66e-02	-2.1228917	-4.516591	-0.22026826	VTCN1	V-set domain containing T cell activation inhibitor 1
206863_x_at	1.51e-01	3.66e-02	2.1225424	-4.517294	0.25057789	HRK	harakiri, BCL2 interacting protein
206733_at	1.51e-01	3.66e-02	2.1220034	-4.518378	0.3306019	TULP2	tubby like protein 2
211682_x_at	1.51e-01	3.67e-02	-2.1216874	-4.519013	-0.39270698	UGT2B28	UDP glucuronosyltransferase family 2 member B28
219595_at	1.51e-01	3.67e-02	-2.1216492	-4.51909	-0.43247082	ZNF26	zinc finger protein 26
212815_at	1.51e-01	3.67e-02	-2.1215526	-4.519284	-0.42027192	ASCC3	activating signal cointegrator 1 complex subunit 3
222292_at	1.51e-01	3.67e-02	-2.1212116	-4.519969	-0.46859812	CD40	CD40 molecule
218043_s_at	1.51e-01	3.67e-02	2.1210681	-4.520258	0.19559457	AZI2	5-azacytidine induced 2
205087_at	1.52e-01	3.68e-02	-2.1202618	-4.521878	-0.33679071	RWDD3	RWD domain containing 3
