SYMBOL,degree,is_biomarker,UniProt,emb_idx
CDH1,92,1,Q9UM11,11580.0
CDH11,2,0,P55287,7143.0
CDH5,32,0,P33151,13972.0
CDK1,210,0,P06493,3527.0
CDK12,12,1,Q9NYV4,7604.0
CDKN1C,26,0,P49918,15796.0
CDKN2A,80,1,P42771,8793.0
CDKN2B,18,1,P42772,603.0
CDKN2C,8,0,P42773,2303.0
CDKN3,94,0,Q16667,13628.0
CDO1,2,0,Q16878,2212.0
CDON,2,0,Q4KMG0,16058.0
CDS1,10,0,Q92903,7162.0
CDYL2,2,1,Q8N8U2,7245.0
CEACAM6,2,0,P40199,1127.0
CEBPA,46,0,P49715,10281.0
CENPE,112,0,Q02224,13994.0
CENPF,126,0,P49454,17298.0
CENPK,32,0,Q9BS16,9372.0
CENPN,68,0,Q96H22,8914.0
CENPU,50,0,Q71F23,2743.0
CEP41,2,0,Q9BYV8,3456.0
CEP55,124,0,Q53EZ4,15993.0
CERS6,12,0,Q6ZMG9,2597.0
CETP,14,0,P11597,5299.0
CFAP298,2,0,P57076,17157.0
CFD,4,0,P00746,611.0
CFH,6,0,P08603,2845.0
CFL2,4,0,Q9Y281,13551.0
CGN,8,0,Q9P2M7,16802.0
CHEK1,120,0,O14757,2866.0
CHEK2,52,1,O96017,2916.0
CHMP4C,4,0,Q96CF2,16084.0
CIDEA,18,0,O60543,11768.0
CIDEC,16,0,Q96AQ7,18059.0
CKMT2,2,0,P17540,15849.0
CKS2,42,0,P33552,6657.0
CLDN3,18,0,O15551,11575.0
CLDN4,16,0,O14493,15920.0
CLDN5,24,0,O00501,10132.0
CLDN7,24,0,O95471,12264.0
CLEC7A,12,0,Q9BXN2,11360.0
CLGN,2,0,O14967,10147.0
CLIC5,4,0,Q9NZA1,13759.0
CLU,32,0,P10909,15841.0
CNKSR2,2,0,Q8WXI2,527.0
CNR1,12,0,P21554,14473.0
CNRIP1,2,0,Q96F85,1520.0
CNTNAP2,6,0,Q9UHC6,17387.0
COL10A1,12,0,Q03692,9788.0
COL11A1,8,0,P12107,17717.0
COL1A1,44,0,P02452,2111.0
COL6A6,2,0,A6NMZ7,6882.0
COMP,18,0,P49747,1816.0
COX11,6,1,Q9Y6N1,17316.0
COX7A1,2,0,P24310,12577.0
CPEB1,8,0,Q9BZB8,10089.0
CRABP2,2,0,P29373,15110.0
CREB3L4,4,0,Q8TEY5,9353.0
CREB5,10,0,Q02930,811.0
CRNKL1,4,0,Q9BZJ0,10475.0
CRYAB,4,0,P02511,5097.0
CTHRC1,4,0,Q96CG8,9964.0
CTPS1,6,0,P17812,5346.0
CXADR,2,0,P78310,3443.0
CXCL10,26,0,P02778,17969.0
CXCL11,18,0,O14625,7265.0
CXCL12,42,0,P48061,17263.0
CXCL8,58,0,P10145,15358.0
CXCR4,64,0,P61073,17561.0
CYBRD1,4,0,Q53TN4,7005.0
CYP26B1,2,0,Q9NR63,461.0
CYTH2,10,0,Q99418,9608.0
CYTIP,2,0,O60759,4940.0
DBF4,20,0,Q9UBU7,16882.0
DCLRE1B,6,1,Q9H816,4324.0
DCN,46,0,P07585,3192.0
DDR2,4,0,Q16832,15722.0
DEGS2,12,0,Q6QHC5,7550.0
DEPDC1,80,0,Q5TB30,17342.0
DGAT2,22,0,Q96PD7,8850.0
DHX15,6,0,O43143,2749.0
DLC1,8,0,Q9Y238,5630.0
DLGAP5,136,0,Q15398,5722.0
DLX2,4,1,Q07687,9465.0
DMD,26,0,P11532,2552.0
DMTN,8,0,Q08495,2907.0
DNAJC1,2,1,Q96KC8,7605.0
DPT,6,0,Q07507,18030.0
DSP,16,0,P15924,10964.0
DST,6,0,Q03001,15820.0
DTL,70,0,Q9NZJ0,12230.0
DUSP5,4,0,Q16690,13984.0
E2F3,18,0,O00716,5886.0
E2F5,16,0,Q15329,17814.0
E2F8,48,0,A0AVK6,17005.0
EBF1,20,1,Q9UH73,14142.0
EBF2,6,0,Q9HAK2,16520.0
EBF3,2,0,Q9H4W6,13507.0
ECM2,2,0,O94769,6507.0
ECT2,80,0,Q9H8V3,9202.0
EDNRB,2,0,P24530,16022.0
EFEMP1,8,0,Q12805,2700.0
EFNA1,12,0,P20827,2351.0
EFNA4,10,0,P52798,8526.0
EGFLAM,2,0,Q63HQ2,548.0
EGFR,170,1,P00533,2131.0
EGLN3,6,0,Q9H6Z9,7805.0
EHBP1,2,0,Q8NDI1,12612.0
EHD2,6,0,Q9NZN4,13450.0
EIF1,2,0,P41567,1148.0
ELF3,4,0,P78545,779.0
ELL,6,1,P55199,3001.0
EMCN,12,0,Q9ULC0,6934.0
ENAH,2,0,Q8N8S7,16465.0
ENC1,2,0,O14682,2638.0
ENPP2,2,0,Q13822,1186.0
EP300,132,1,Q09472,10159.0
EPAS1,26,0,Q99814,16553.0
EPB41L2,2,0,O43491,9423.0
EPB41L5,2,0,Q9HCM4,15021.0
EPB42,8,0,P16452,14748.0
EPCAM,36,0,P16422,4290.0
EPN3,6,0,Q9H201,15836.0
ERBB2,102,1,P04626,7108.0
ERBB3,44,0,P21860,85.0
ERBB4,46,1,Q15303,3506.0
ERG,4,0,Q12809,11099.0
ESPN,12,0,B1AK53,15199.0
ESR1,120,1,P03372,15586.0
ESRP1,14,0,Q6NXG1,14666.0
ETFB,8,0,P38117,5074.0
ETNK1,4,0,Q9HBU6,6993.0
EXO1,118,1,Q9UQ84,16102.0
EZH1,10,0,Q92800,10206.0
EZH2,76,0,Q15910,2878.0
EZR,28,0,P15311,14310.0
F10,6,0,Q9BQ89,9898.0
F12,2,0,P00748,2711.0
FA2H,8,0,Q7L5A8,9277.0
FABP4,28,0,P15090,5942.0
FABP5,8,0,Q01469,3773.0
FADS3,2,0,Q9Y5Q0,5391.0
FAM83D,22,0,Q9H4H8,3507.0
FANCD2,38,0,Q9BXW9,13809.0
FANCI,48,0,Q9NVI1,3211.0
FAXDC2,6,0,Q96IV6,18145.0
FBLN2,18,0,P98095,9421.0
FBLN5,12,0,Q9UBX5,15418.0
FBN1,28,0,P35555,5311.0
FBXO11,6,1,Q86XK2,4243.0
FCRL4,2,1,Q96PJ5,5617.0
FDPS,6,0,P14324,10126.0
FEN1,48,0,P39748,1847.0
FERMT2,4,0,Q96AC1,9430.0
FEZ1,2,0,Q9Y250,2889.0
FGF1,22,0,P05230,15685.0
FGF2,66,0,P09038,12517.0
FGF3,38,1,P11487,3910.0
FGFR2,50,1,P21802,80.0
FGFR3,48,0,P22607,14569.0
FHL1,4,0,Q13642,6130.0
FKBP11,2,0,Q9NYL4,2572.0
FKBP4,6,0,Q02790,10839.0
FN1,124,0,P02751,2769.0
FNDC5,2,0,Q8NAU1,1164.0
FOS,64,0,P01100,4053.0
FOSB,14,0,P53539,3698.0
FOXA1,36,0,P55317,10592.0
FOXM1,104,0,Q08050,15342.0
FOXO1,62,0,Q12778,401.0
FOXP2,2,0,O15409,14925.0
FREM1,2,0,Q5H8C1,12180.0
FSTL1,2,0,Q12841,4033.0
FTO,8,1,Q9C0B1,13770.0
FUBP1,4,0,Q96AE4,12505.0
FXYD1,4,0,O00168,9843.0
FZD4,12,0,Q9ULV1,4483.0
G0S2,2,0,P27469,8557.0
GABARAPL1,6,0,Q9H0R8,16680.0
GALC,12,1,P54803,1574.0
GALE,6,0,Q14376,16666.0
GALNT3,4,0,Q14435,109.0
GAS1,2,0,P54826,8618.0
GATA3,36,0,P23771,11756.0
GCH1,16,0,P30793,7185.0
GDF15,6,0,Q99988,14191.0
GDPD1,4,0,Q8N9F7,18149.0
GDPD5,2,0,Q8WTR4,16661.0
GGCT,4,0,O75223,10666.0
GHR,14,0,P10912,312.0
GIMAP1,2,0,Q8WWP7,1072.0
GIMAP8,2,0,Q8ND71,10874.0
GINS1,18,0,Q14691,6329.0
GINS2,24,0,Q9Y248,192.0
GIPC2,2,0,Q8TF65,8415.0
GJB2,4,0,P29033,17089.0
GLYAT,2,0,Q6IB77,12827.0
GNAI1,54,0,P63096,15522.0
GNAL,20,0,P38405,9812.0
GNG11,14,0,P61952,9240.0
GNG12,10,0,Q9UBI6,9211.0
GNG2,44,0,P59768,6784.0
GOLM1,2,0,Q8NBJ4,13439.0
GPAM,16,0,Q9HCL2,9369.0
GPAT3,10,0,Q53EU6,8259.0
GPC3,12,0,P51654,14981.0
GPD1,14,0,P21695,7127.0
GPER1,4,0,Q99527,18177.0
GPIHBP1,8,0,Q8IV16,15798.0
GPLD1,4,0,P80108,14745.0
GPX3,8,0,P22352,514.0
GPX4,12,0,P36969,8157.0
GRK3,8,0,P35626,14842.0
GSN,14,0,P06396,10806.0
GSTM5,8,0,P46439,9405.0
GTSE1,32,0,Q9NYZ3,4089.0
GULP1,2,0,Q9UBP9,4046.0
GYG2,6,0,O15488,4193.0
GYPC,4,0,P04921,5365.0
H2AC6,30,0,Q93077,5822.0
H2BC12,34,0,O60814,12642.0
H2BC21,44,0,Q16778,17433.0
H2BC5,20,0,P58876,4818.0
H2BC9,20,0,Q93079,9601.0
HABP4,2,0,Q5JVS0,14717.0
HACD3,2,0,Q9P035,6096.0
HBB,4,0,P68871,13136.0
HELLS,16,0,Q9NRZ9,17382.0
HERC2,8,1,O95714,11045.0
HIF3A,6,0,Q9Y2N7,8296.0
HIPK2,10,0,Q9H2X6,10133.0
HMGCR,12,0,P04035,14916.0
HMMR,118,0,O75330,18160.0
HNF4G,2,1,Q14541,3723.0
HNMT,2,0,P50135,17880.0
HNRNPAB,4,0,Q99729,3624.0
HNRNPD,14,0,Q14103,12103.0
HOMER1,4,0,Q86YM7,574.0
HOOK1,2,0,Q9UJC3,10687.0
HOXA10,6,0,P31260,1579.0
HOXA4,2,0,Q00056,5130.0
HOXA5,8,0,P20719,10605.0
HOXA7,6,0,P31268,5242.0
HRAS,62,1,P01112,845.0
HSD11B1,6,0,P28845,6798.0
HSD17B6,10,0,O14756,11643.0
HSDL2,22,0,Q6YN16,6284.0
HSPA12A,6,0,O43301,16983.0
HSPA12B,6,0,Q96MM6,11314.0
HSPA5,34,0,P11021,13061.0
HSPB2,8,0,Q16082,8460.0
HSPB6,2,0,O14558,2932.0
HSPG2,26,0,P98160,1966.0
ICAM2,4,0,P13598,18142.0
IDH2,16,0,P48735,9182.0
IFI6,6,0,P09912,14887.0
IFIH1,12,0,Q9BYX4,15387.0
IGF1,72,0,P05019,15514.0
IGFBP5,8,0,P24593,577.0
IGFBP6,4,0,P24592,12880.0
IGSF3,2,0,O75054,1193.0
IKZF3,4,0,Q9UKT9,3363.0
IL11RA,2,0,Q14626,11246.0
IL1RN,2,0,P18510,7716.0
ILDR1,2,0,Q86SU0,10982.0
INAVA,2,0,Q3KP66,1145.0
INHBA,6,0,P08476,13266.0
INHBB,4,1,P09529,9803.0
INMT,2,0,O95050,1401.0
INPP4B,6,0,O15327,17457.0
IQGAP3,4,0,Q86VI3,15368.0
IRF6,4,0,O14896,10073.0
IRS1,52,0,P35568,5547.0
IRS2,18,0,Q9Y4H2,15963.0
ISG20,4,0,Q96AZ6,1600.0
ITGA1,24,0,P56199,3834.0
ITGA7,24,0,Q13683,16970.0
ITIH5,2,0,Q86UX2,2227.0
ITPK1,2,0,Q13572,9274.0
ITPR1,14,1,Q14643,7250.0
ITSN1,10,0,Q15811,758.0
JAM2,2,0,P57087,5316.0
JUN,94,0,P05412,828.0
KANK1,2,0,Q14678,7866.0
KCNAB1,4,0,Q14722,2053.0
KCNB1,4,0,Q14721,12561.0
KCNJ2,6,0,P63252,9199.0
KCNN4,2,1,O15554,5004.0
KCNS3,4,0,Q9BQ31,11694.0
KCNU1,2,1,A8MYU2,3631.0
KCTD15,8,0,Q96SI1,1236.0
KDM5B,8,0,Q9UGL1,12455.0
KDM6A,26,1,O15550,13812.0
KIF11,140,0,P52732,11964.0
KIF14,82,0,Q15058,532.0
KIF15,102,0,Q9NS87,13199.0
KIF20A,126,0,O95235,7475.0
KIF23,110,0,Q02241,17053.0
KIF2C,122,0,Q99661,6838.0
KIF4A,112,0,O95239,7061.0
KL,12,0,Q9UEF7,10298.0
KLB,8,0,Q86Z14,11821.0
KLF1,12,0,Q13351,3733.0
KLF12,2,0,Q9Y4X4,936.0
KLF15,2,0,Q9UIH9,8563.0
KLF2,12,0,Q9Y5W3,540.0
KLF4,32,1,O43474,8995.0
KMO,8,0,O15229,13631.0
KNL1,58,0,Q8NG31,6196.0
KPNA2,44,0,P52292,11450.0
KRAS,74,1,P01116,1004.0
KRT14,2,0,P02533,11166.0
KRT15,2,0,P19012,10554.0
KRT18,14,0,P05783,10558.0
KRT19,16,0,P08727,8930.0
KRT7,24,0,P08729,9687.0
KRT8,22,0,P05787,1419.0
KYNU,10,0,Q16719,3710.0
LAMA2,12,0,P24043,7113.0
LAMA3,8,0,Q16787,10232.0
LAMA4,14,0,Q16363,9922.0
LAPTM4B,2,0,Q86VI4,1147.0
LDB2,4,0,O43679,3318.0
LEF1,36,0,Q9UJU2,27.0
LEP,60,0,P41159,12679.0
LGR6,2,1,Q9HBX8,1100.0
LHX6,8,0,Q9UPM6,16406.0
LIFR,8,0,P42702,8419.0
LIMK2,2,0,P53671,14407.0
LIMS2,2,0,Q7Z4I7,118.0
LIPE,36,0,Q05469,3639.0
LLGL2,6,0,Q6P1M3,9539.0
LMNB1,14,0,P20700,12619.0
LMOD1,4,0,P29536,9966.0
LOXL4,2,0,Q96JB6,2901.0
LPL,44,0,P06858,4269.0
LRP1,24,0,Q07954,7770.0
LRP5,20,0,O75197,11165.0
LSP1,16,1,P33241,15330.0
LSR,4,0,Q86X29,13927.0
LTF,16,0,P02788,6026.0
LYVE1,10,0,Q9Y5Y7,8134.0
LYZ,2,0,P61626,8128.0
LZTR1,8,1,Q8N653,15588.0
MAD2L1,132,0,Q13257,11044.0
MAF,14,0,O75444,16774.0
MAGED2,4,0,Q9UNF1,11391.0
MAL2,2,0,Q969L2,7788.0
MAML2,6,0,Q8IZL2,7678.0
MAOA,16,0,P21397,16137.0
MAP3K1,18,1,Q13233,12489.0
MAPK13,22,0,O15264,11939.0
MAPK6,8,0,Q16659,11738.0
MARVELD2,22,0,Q8N4S9,16969.0
MB,10,0,P02144,1539.0
MBOAT2,22,0,Q6ZWT7,14471.0
MCAM,8,0,P43121,11606.0
MCM2,50,0,P49736,8347.0
MCM4,78,0,P33991,4106.0
MCUR1,2,1,Q96AQ8,9355.0
MDK,6,0,P21741,6939.0
MDM4,18,1,O15151,4390.0
ME1,4,0,P48163,15777.0
MECOM,4,0,Q03112,4382.0
MEIS2,4,0,O14770,7426.0
MELK,132,0,Q14680,6113.0
MEOX1,2,0,P50221,2316.0
MEOX2,2,0,P50222,2332.0
MESP1,2,0,Q9BRJ9,7042.0
MEST,6,0,Q5EB52,17300.0
METAP1D,2,1,Q6UB28,4783.0
MFAP4,10,0,P55083,3771.0
MFAP5,8,0,Q13361,3941.0
MGLL,16,0,Q99685,9428.0
MICAL2,2,0,O94851,1922.0
MICU3,2,0,Q86XE3,6108.0
MIF,10,0,P14174,1027.0
MKI67,100,0,P46013,17621.0
MLLT10,2,1,P55197,17488.0
MLPH,2,0,Q9BV36,531.0
MLXIPL,8,0,Q9NP71,5743.0
MME,16,0,P08473,9028.0
MMP11,4,0,P24347,11652.0
MMP12,4,0,P39900,10683.0
MMP3,28,0,P08254,7349.0
MMP9,74,0,P14780,9103.0
MMRN2,4,0,Q9H8L6,16538.0
MND1,52,0,Q9BWT6,15587.0
MNX1,2,0,P50219,9879.0
MOCS1,10,0,Q9NZB8,17624.0
MRAP,2,0,Q8TCY5,10546.0
MRAS,18,0,O14807,17849.0
MRTFA,10,1,Q969V6,6273.0
MSMO1,8,0,Q15800,16083.0
MSX1,14,0,P28360,10127.0
MT1M,2,0,Q8N339,6513.0
MT1X,2,0,P80297,8378.0
MTFR2,2,0,Q6P444,1069.0
MTHFD2,6,0,P13995,16413.0
MUC1,26,0,P15941,1383.0
MYC,138,1,P01106,8301.0
MYH11,8,0,P35749,16667.0
MYH9,16,1,P35579,8406.0
MYL9,6,0,P24844,610.0
MYO5B,12,0,Q9ULV0,12216.0
MYO6,4,0,Q9UM54,5868.0
MYOC,4,0,Q99972,7283.0
MYRIP,4,0,Q8NFW9,840.0
MZT2B,4,0,Q6NZ67,8638.0
NAT8L,2,0,Q8N9F0,15728.0
NCAM1,24,0,P13591,15437.0
NCAPG,120,0,Q9BPX3,11531.0
NCEH1,2,0,Q6PIU2,11013.0
NCOA1,20,1,Q15788,723.0
NDC80,108,0,O14777,7228.0
NDN,2,0,Q99608,3432.0
NECTIN2,4,0,Q92692,7607.0
NECTIN3,4,0,Q9NQS3,2803.0
NEGR1,4,0,Q7Z3B1,3511.0
NEK2,108,0,P51955,16535.0
NF1,32,1,P21359,16300.0
NFE2L3,6,0,Q9Y4A8,11343.0
NHP2,8,0,Q9NX24,6641.0
NME7,14,0,Q9Y5B8,6647.0
NMNAT2,4,0,Q9BZQ4,3785.0
NNAT,4,0,Q16517,6564.0
NPNT,2,0,Q6UXI9,7287.0
NPR1,12,0,P16066,16621.0
NPR2,12,0,P20594,11729.0
NPR3,2,0,P17342,5261.0
NPY1R,4,0,P25929,6382.0
NR3C1,46,0,P04150,16358.0
NR3C2,10,0,P08235,2381.0
NRIP1,18,1,P48552,14626.0
NSD2,18,0,O96028,13207.0
NT5E,24,0,P21589,568.0
NTN1,2,1,O95631,2459.0
NTRK2,34,0,Q16620,2044.0
NUF2,138,0,Q9BZD4,953.0
NUSAP1,124,0,Q9BXS6,12272.0
OAZ3,2,0,Q9UMX2,1047.0
OCLN,38,0,Q16625,5815.0
OGN,6,0,P20774,7089.0
OIP5,74,0,O43482,2965.0
OLR1,4,0,P78380,12768.0
OMD,6,0,Q99983,8515.0
OPN3,2,0,Q9H1Y3,3663.0
ORC6,18,0,Q9Y5N6,8432.0
OSR2,4,0,Q8N2R0,16770.0
OXTR,8,0,P30559,5020.0
P2RY12,6,0,Q9H244,17709.0
P2RY14,2,0,Q15391,10446.0
PABPC1L,4,0,Q4VXU2,5339.0
PAFAH1B3,2,0,Q15102,316.0
PAH,2,1,P00439,13948.0
PAIP1,6,0,Q9H074,17421.0
PALB2,34,1,Q86YC2,16236.0
PARD6B,12,0,Q9BYG5,7683.0
PARVA,10,0,Q9NVD7,6755.0
PATJ,12,0,Q8NI35,16288.0
PAX9,8,1,P55771,10122.0
PBK,132,0,Q96KB5,170.0
PBX1,22,1,P40424,18179.0
PC,12,0,P11498,4253.0
PCDH19,2,0,Q8TAB3,10919.0
PCK1,20,0,P35558,13143.0
PCLAF,86,0,Q15004,10426.0
PCNA,42,0,P12004,11603.0
PCOLCE2,2,0,Q9UKZ9,10703.0
PCSK5,4,0,Q92824,16203.0
PDE11A,6,0,Q9HCR9,8314.0
PDE2A,6,0,O00408,2659.0
PDE3B,10,0,Q13370,8036.0
PDE4D,10,1,Q08499,14804.0
PDE7B,4,0,Q9NP56,7661.0
PDE8B,2,0,O95263,1109.0
PDGFD,14,0,Q9GZP0,4365.0
PDK4,4,0,Q16654,9690.0
PEMT,6,0,Q9UBM1,175.0
PER3,6,0,P56645,4719.0
PFKFB1,6,0,P16118,9597.0
PFKFB3,2,0,Q16875,5740.0
PGM5,10,0,Q15124,16986.0
PHLDA2,2,0,Q53GA4,16020.0
PIK3CA,70,1,P42336,12761.0
PIK3R1,62,0,P27986,1885.0
PIMREG,14,0,Q9BSJ6,12049.0
PIP,8,0,P12273,9566.0
PKD2L1,2,0,Q9P0L9,12334.0
PKP3,8,0,Q9Y446,676.0
PLA2G4A,8,0,P47712,10036.0
PLA2G7,14,0,Q13093,16558.0
PLAAT3,12,0,P53816,10827.0
PLAGL1,8,0,Q9UM63,10385.0
PLAUR,8,0,Q03405,1538.0
PLIN1,26,0,O60240,10595.0
PLIN4,6,0,Q96Q06,4962.0
PLIN5,4,0,Q00G26,11102.0
PLP1,2,0,P60201,4050.0
PLPP2,32,0,O43688,13138.0
PLPP3,32,0,O14495,3491.0
PLPP5,20,0,Q8NEB5,12222.0
PLXNA4,6,0,Q9HCM2,17769.0
PNN,4,0,Q9H307,14794.0
PNPLA2,34,0,Q96AD5,7749.0
POSTN,18,0,Q15063,3442.0
PPARG,86,0,P37231,12961.0
PPBP,16,0,P02775,14874.0
PPL,12,0,O60437,10505.0
PPP1R1A,4,0,Q13522,8068.0
PPP2R1B,10,0,P30154,5502.0
PPP2R2C,10,0,Q9Y2T4,7296.0
PRC1,104,0,O43663,4347.0
PRELP,10,0,P51888,739.0
PREX2,2,0,Q70Z35,10913.0
PRG4,2,0,Q96GM1,14381.0
PRIMA1,2,0,Q86XR5,3803.0
PRKAR2B,4,0,P31323,12030.0
PRKCI,22,0,P41743,10483.0
PRLR,10,0,P16471,18010.0
PRSS8,4,0,Q16651,17274.0
PSMA5,6,0,P28066,13521.0
PSMB4,4,0,P28070,15474.0
PSME4,4,0,Q14997,10451.0
PTEN,90,1,P60484,9473.0
PTGER3,4,0,P43115,6147.0
PTGIS,4,0,Q16647,13072.0
PTH1R,8,0,Q03431,14562.0
PTHLH,8,1,P12272,15422.0
PTK6,10,0,Q13882,2231.0
PTPN11,56,0,Q06124,12939.0
PTPN21,2,0,Q16825,8230.0
PTPRB,6,0,P23467,5033.0
PTTG1,100,0,O95997,6097.0
PXDN,28,0,Q92626,5802.0
PYGL,10,0,P06737,4824.0
PYGM,10,0,P11217,2110.0
QKI,6,0,Q96PU8,17027.0
QPRT,8,0,Q15274,8532.0
