SYMBOL,degree,is_biomarker,UniProt,emb_idx
CD248,6,0,Q9HCU0,17295.0
CD27,26,0,P26842,15460.0
CD276,10,1,Q5ZPR3,1639.0
CD300A,2,0,Q9UGN4,2939.0
CD44,150,1,P16070,16432.0
CD53,18,0,P19397,5498.0
CD74,34,1,P04233,14926.0
CD83,6,0,Q01151,932.0
CD84,2,0,Q9UIB8,7794.0
CD86,54,0,P42081,15670.0
CDC25B,16,1,P30305,12587.0
CDCA7L,4,0,Q96GN5,14368.0
CDH12,8,0,P55289,4880.0
CDH13,12,0,P55290,6840.0
CDH18,4,0,Q13634,17100.0
CDH4,6,0,P55283,15664.0
CDH8,10,0,P55286,6543.0
CDK2,46,1,P24941,6508.0
CDK6,30,0,Q00534,5874.0
CDKN2A,46,1,P42771,8793.0
CEBPA,32,1,P49715,10281.0
CEBPD,16,0,P49716,6554.0
CELF5,2,0,Q8N6W0,3760.0
CENPP,2,0,Q6IPU0,12636.0
CENPV,2,0,Q7Z7K6,13971.0
CEP97,2,0,Q8IW35,13840.0
CFD,2,0,P00746,611.0
CFL2,22,0,Q9Y281,13551.0
CHI3L1,2,1,P36222,1543.0
CHM,8,0,P24386,3355.0
CHST9,2,0,Q7L1S5,2213.0
CLASRP,6,0,Q8N2M8,418.0
CLDN5,12,0,O00501,10132.0
CLEC7A,24,0,Q9BXN2,11360.0
CLU,56,0,P10909,15841.0
CMPK2,22,0,Q5EBM0,7699.0
CNN1,20,0,P51911,16105.0
CNN2,2,0,Q99439,10465.0
CNR1,12,0,P21554,14473.0
CNTNAP2,10,0,Q9UHC6,17387.0
COBL,4,0,O75128,13771.0
COL11A1,8,0,P12107,17717.0
COL14A1,8,0,Q05707,7754.0
COL1A1,72,0,P02452,2111.0
COL4A1,42,1,P02462,144.0
COL4A5,26,0,P29400,13477.0
COL8A1,6,0,P27658,6001.0
COLGALT1,2,0,Q8NBJ5,1772.0
CORO1A,6,0,P31146,3269.0
COX19,2,0,Q49B96,4346.0
CP,18,0,P00450,6152.0
CPPED1,2,0,Q9BRF8,13036.0
CPS1,6,1,P31327,9811.0
CREB3L1,2,0,Q96BA8,4480.0
CRHR1,4,0,P34998,1981.0
CRP,46,1,P02741,4612.0
CRY2,6,1,Q49AN0,7027.0
CSF1R,128,0,P07333,14867.0
CSPG4,8,1,Q6UVK1,14234.0
CST3,16,0,P01034,3222.0
CSTA,10,0,P01040,8656.0
CTLA4,34,0,P16410,5464.0
CTNNA2,22,0,P26232,12735.0
CTNND2,8,0,Q9UQB3,15915.0
CTSH,6,0,P09668,17290.0
CTSS,38,0,P25774,18044.0
CWC27,10,0,Q6UX04,5347.0
CX3CL1,24,0,P78423,16772.0
CX3CR1,36,0,P49238,9704.0
CXCL16,12,0,Q9H2A7,14363.0
CYBB,44,0,P04839,2539.0
CYP1B1,14,0,Q16678,4216.0
CYP24A1,4,0,Q07973,12294.0
CYP2C8,18,0,P10632,13064.0
CYSLTR1,2,0,Q9Y271,4021.0
DAB2,10,1,P98082,12014.0
DAGLB,2,0,Q8NCG7,3487.0
DCAF1,8,0,Q9Y4B6,717.0
DCDC2,2,0,Q9UHG0,17661.0
DCLK1,4,0,O15075,3713.0
DCX,18,0,O43602,2099.0
DDX10,2,0,Q13206,7894.0
DDX17,12,1,Q92841,6865.0
DDX5,22,1,P17844,5582.0
DEPDC7,2,0,Q96QD5,15827.0
DGKD,2,0,Q16760,11214.0
DGKG,4,0,P49619,11618.0
DGKZ,4,0,Q13574,5362.0
DHCR24,2,0,Q15392,1642.0
DISC1,8,0,Q9NRI5,8152.0
DLC1,6,0,Q9Y238,5630.0
DLG1,18,0,Q12959,7885.0
DLK1,4,0,P80370,4081.0
DLL1,8,0,O00548,11906.0
DMTN,4,0,Q08495,2907.0
DNAJC10,8,1,Q8IXB1,10155.0
DNER,8,0,Q8NFT8,2383.0
DOCK1,2,0,Q14185,12240.0
DOCK11,2,0,Q5JSL3,4691.0
DOCK5,2,0,Q9H7D0,8629.0
DPP6,8,0,P42658,5238.0
DPP7,2,0,Q9UHL4,9804.0
DPP9,2,0,Q86TI2,4809.0
DSCAM,8,0,O60469,17665.0
DSCAML1,2,0,Q8TD84,5044.0
DSG2,10,0,Q14126,7406.0
DSP,18,0,P15924,10964.0
DTNA,6,0,Q9Y4J8,7494.0
DTX1,6,1,Q86Y01,4958.0
EDN1,20,0,P05305,5661.0
EDNRB,8,0,P24530,16022.0
EGF,126,0,P01133,1129.0
EGFL7,2,1,Q9UHF1,17138.0
EGFR,212,1,P00533,2131.0
EGLN3,6,0,Q9H6Z9,7805.0
EIF3L,2,0,Q9Y262,1892.0
EIF4EBP1,4,0,Q13541,14716.0
ELAVL4,4,0,P26378,669.0
ELOA,4,0,Q14241,7513.0
ELOVL2,4,0,Q9NYP7,10562.0
ELOVL6,6,0,Q9H5J4,16216.0
EN1,2,1,Q05925,7098.0
ENAH,8,0,Q8N8S7,16465.0
ENTPD1,14,0,P49961,5946.0
EPCAM,26,0,P16422,4290.0
EPHA2,60,0,P29317,3303.0
EPHB1,4,0,P54762,18073.0
EPHB2,2,0,P29323,5615.0
ERG,2,0,Q12809,11099.0
ERP44,2,0,Q9BS26,14414.0
ETNK1,2,1,Q9HBU6,6993.0
EVA1A,2,0,Q9H8M9,15141.0
EVI2B,6,0,P34910,12376.0
EVL,8,0,Q9UI08,11718.0
EXT1,6,0,Q16394,5319.0
EYA1,2,0,Q99502,1099.0
F13A1,6,1,P00488,7963.0
FABP7,8,1,O15540,1869.0
FAF1,4,0,Q9UNN5,10973.0
FAM20C,6,0,Q8IXL6,12299.0
FAM241A,2,0,Q8N8J7,16305.0
FANCD2,14,1,Q9BXW9,13809.0
FAP,2,0,Q12884,10478.0
FARP2,6,0,O94887,15893.0
FBLIM1,6,1,Q8WUP2,1299.0
FBN1,38,0,P35555,5311.0
FCER1G,52,1,P30273,10217.0
FCGR2A,38,0,P12318,13831.0
FGF1,44,1,P05230,15685.0
FGF10,32,1,O15520,10963.0
FGF11,2,1,Q92914,328.0
FGF13,34,1,Q92913,9382.0
FGF14,2,1,Q92915,7499.0
FGF16,26,1,O43320,17929.0
FGF17,44,1,O60258,16322.0
FGF18,34,1,O76093,3469.0
FGF19,24,1,O95750,5079.0
FGF2,96,1,P09038,12517.0
FGF20,28,1,Q9NP95,976.0
FGF21,8,1,Q9NSA1,7427.0
FGF22,30,1,Q9HCT0,99.0
FGF23,42,1,Q9GZV9,2020.0
FGF3,36,1,P11487,3910.0
FGF4,42,1,P08620,9494.0
FGF5,36,1,P12034,285.0
FGF6,32,1,P10767,17303.0
FGF7,38,1,P21781,17839.0
FGF8,48,1,P55075,11115.0
FGF9,34,1,P31371,13264.0
FGL2,6,0,Q14314,2550.0
FHL2,6,0,Q14192,63.0
FKBP5,10,0,Q13451,18151.0
FLG,6,0,P20930,7676.0
FLNA,48,1,P21333,8246.0
FLNB,26,0,O75369,15624.0
FLNC,40,0,Q14315,2102.0
FLRT3,10,0,Q9NZU0,8788.0
FN1,186,1,P02751,2769.0
FOLH1,2,0,Q04609,1703.0
FOS,68,1,P01100,4053.0
FOSL2,4,0,P15408,10603.0
FOXC2,6,0,Q99958,12969.0
FOXL1,4,0,Q12952,6454.0
FPR1,10,0,P21462,2294.0
FRAS1,2,0,Q86XX4,7432.0
FREM2,2,1,Q5SZK8,13127.0
FRMD6,4,0,Q96NE9,17961.0
FRZB,2,0,Q92765,14540.0
FSTL1,10,0,Q12841,4033.0
FSTL3,2,0,O95633,14399.0
FTL,4,1,P02792,3823.0
FTO,10,0,Q9C0B1,13770.0
FYB1,6,0,O15117,16161.0
FZD6,12,0,O60353,4066.0
GABRB1,2,0,P18505,414.0
GABRB2,6,0,P47870,4897.0
GAD1,30,0,Q99259,13246.0
GADD45G,4,0,O95257,12725.0
GAP43,18,0,P17677,14292.0
GAS1,8,0,P54826,8618.0
GAS2,2,0,O43903,6586.0
GATA6,14,0,Q92908,17190.0
GATM,10,0,P50440,17030.0
GBP2,4,0,P32456,10178.0
GCN1,4,0,Q92616,6095.0
GDF15,6,1,Q99988,14191.0
GDF5,12,0,P43026,9437.0
GFAP,50,1,P14136,2598.0
GFER,6,0,P55789,14983.0
GGCT,6,1,O75223,10666.0
GHDC,2,0,Q8N2G8,15285.0
GIMAP1,10,0,Q8WWP7,1072.0
GIMAP2,4,0,Q9UG22,4790.0
GIMAP4,8,0,Q9NUV9,3245.0
GIMAP7,10,0,Q8NHV1,3922.0
GIMAP8,8,0,Q8ND71,10874.0
GIT2,6,1,Q14161,8771.0
GLI1,18,1,P08151,13339.0
GLMN,10,0,Q92990,2180.0
GLRX,12,0,P35754,5128.0
GLS2,12,1,Q9UI32,3086.0
GLUL,16,0,P15104,4156.0
GLYAT,2,0,Q6IB77,12827.0
GMFG,2,0,O60234,13612.0
GNG4,16,0,P50150,1034.0
GNG5,10,1,P63218,16878.0
GNGT1,8,0,P63211,1161.0
GOT1,12,1,P17174,3570.0
GPHN,12,0,Q9NQX3,2648.0
GPNMB,6,0,Q14956,4444.0
GPX2,30,1,P18283,9782.0
GPX3,30,0,P22352,514.0
GPX8,26,0,Q8TED1,13571.0
GREM1,8,0,O60565,8926.0
GRIA2,24,0,P42262,17292.0
GRIA3,16,0,P42263,5571.0
GRIN1,22,0,Q05586,8785.0
GRIN2A,30,0,Q12879,5885.0
GRK5,4,0,P34947,4079.0
GRN,8,1,P28799,11419.0
GSTT2B,12,0,P0CG30,15770.0
GTF2A1L,2,0,Q9UNN4,9653.0
GUCY1A1,4,0,Q02108,3553.0
GUCY1B1,4,0,Q02153,16525.0
H2BC12,8,1,O60814,12642.0
HACD1,6,0,B0YJ81,3027.0
HACD2,6,0,Q6Y1H2,2810.0
HAVCR2,20,0,Q8TDQ0,8909.0
HBB,4,0,P68871,13136.0
HCK,42,0,P08631,1754.0
HCLS1,26,0,P14317,14681.0
HCST,14,0,Q9UBK5,11007.0
HDAC8,4,0,Q9BY41,8429.0
HDGF,20,1,P51858,14313.0
HDLBP,4,0,Q00341,15783.0
HERC5,28,0,Q9UII4,8405.0
HERC6,24,0,Q8IVU3,1722.0
HES1,10,1,Q14469,10637.0
HES6,4,0,Q96HZ4,4199.0
HEY1,14,0,Q9Y5J3,9030.0
HHIP,6,1,Q96QV1,13783.0
HIRA,2,0,P54198,4110.0
HJURP,22,1,Q8NCD3,11692.0
HLA-DMA,22,0,P28067,3537.0
HLA-DMB,20,0,P28068,15075.0
HLA-DOA,20,0,P06340,13833.0
HLA-DPA1,26,0,P20036,16221.0
HLA-DPB1,20,0,P04440,10706.0
HLA-DQB1,22,0,P01920,11649.0
HLA-DRA,38,1,P01903,16086.0
HLA-DRB1,32,0,P01911,9996.0
HLA-DRB5,24,0,Q30154,10351.0
HLA-F,26,0,P30511,1117.0
HMGA2,18,0,P52926,16927.0
HMGB1,30,1,P09429,5388.0
HMOX1,24,0,P09601,7437.0
HNMT,2,0,P50135,17880.0
HPGDS,20,0,O60760,15944.0
HPSE,2,0,Q9Y251,6703.0
HS3ST1,2,0,O14792,16982.0
HS3ST2,2,0,Q9Y278,16383.0
HSPA5,40,1,P11021,13061.0
ICAM2,10,0,P13598,18142.0
ID4,8,0,P47928,10023.0
IDH1,36,1,O75874,3206.0
IDH2,22,1,P48735,9182.0
IFI35,44,0,P80217,12187.0
IFI44,34,0,Q8TCB0,3264.0
IFI44L,32,0,Q53G44,7858.0
IFI6,30,0,P09912,14887.0
IFIT3,38,0,O14879,646.0
IFITM1,24,0,P13164,15317.0
IGF2BP3,8,0,O00425,9081.0
IGF2R,10,0,P11717,6267.0
IGFBP3,18,0,P17936,4465.0
IGSF6,2,0,O95976,7450.0
IKZF1,12,0,Q13422,260.0
IL10RA,26,0,Q13651,14514.0
IL11,20,0,P20809,13428.0
IL13RA2,14,1,Q14627,8962.0
IL17D,4,0,Q8TAD2,11592.0
IL17RB,6,0,Q9NRM6,8918.0
IL1R1,30,1,P14778,17933.0
IL1RAPL1,2,0,Q9NZN1,15946.0
IL2RB,20,0,P14784,8398.0
IL33,14,1,O95760,10396.0
IL4R,22,1,P24394,5764.0
IL5RA,14,0,Q01344,5738.0
IL6R,30,0,P08887,9718.0
INA,6,1,Q16352,2685.0
INF2,8,0,Q27J81,5564.0
INHBA,4,0,P08476,13266.0
INPP5A,4,0,Q14642,8921.0
IRF8,24,0,Q02556,4065.0
ISL2,4,1,Q96A47,14960.0
ITFG2,2,0,Q969R8,2493.0
ITGA11,42,0,Q9UKX5,12860.0
ITGA2,70,0,P17301,6374.0
ITGA3,56,0,P26006,11018.0
ITGA4,62,0,P13612,9542.0
ITGA5,70,0,P08648,272.0
ITGA9,42,1,Q13797,516.0
ITGAD,8,0,Q13349,5838.0
ITGAM,104,0,P11215,12534.0
ITGB2,112,0,P05107,17677.0
ITGB3BP,2,1,Q13352,9183.0
ITPKB,2,0,P27987,10518.0
ITPR1,20,0,Q14643,7250.0
JAM2,4,0,P57087,5316.0
JUN,62,1,P05412,828.0
JUP,14,0,P14923,6510.0
KALRN,6,0,O60229,11181.0
KAT6B,6,0,Q8WYB5,8423.0
KCNAB2,12,0,Q13303,15811.0
KCNC1,6,0,P48547,2518.0
KCNE3,6,0,Q9Y6H6,16784.0
KCNJ10,6,0,P78508,6494.0
KCNJ16,2,0,Q9NPI9,1235.0
KCNJ6,4,0,P48051,446.0
KCNN2,8,0,Q9H2S1,11322.0
KCNN3,10,0,Q9UGI6,6049.0
KCNQ2,22,0,O43526,11668.0
KCNQ3,12,0,O43525,3836.0
KCNQ5,6,0,Q9NR82,13015.0
KCTD13,8,0,Q8WZ19,12391.0
KDELR2,2,0,P33947,6978.0
KDELR3,2,0,O43731,16618.0
KHDRBS1,20,0,Q07666,589.0
KIAA1549L,2,0,Q6ZVL6,1726.0
KIF15,22,0,Q9NS87,13199.0
KIF17,10,0,Q9P2E2,7278.0
KIF7,6,0,Q2M1P5,1959.0
KIT,104,1,P10721,4402.0
KITLG,30,0,P21583,11600.0
KLF4,20,1,O43474,8995.0
KLRD1,24,0,Q13241,16153.0
KPNA2,16,1,P52292,11450.0
KRT18,12,0,P05783,10558.0
KRT19,14,0,P08727,8930.0
KRT7,20,0,P08729,9687.0
KRT8,18,0,P05787,1419.0
LACC1,2,0,Q8IV20,11605.0
LAIR1,2,0,Q6GTX8,15596.0
LAMA4,28,1,Q16363,9922.0
LAMB1,28,1,P07942,5115.0
LAMC1,32,0,P11047,13352.0
LAMC2,22,0,Q13753,6891.0
LAPTM5,20,0,Q13571,4297.0
LBP,6,1,P18428,3688.0
LCP2,48,0,Q13094,17269.0
LDLR,4,0,P01130,8024.0
LGALS1,8,1,P09382,15659.0
LGALS3BP,4,1,Q08380,6401.0
LHFPL4,2,0,Q86UP9,10085.0
LIF,24,0,P15018,6428.0
LILRB1,10,0,Q8NHL6,202.0
LIN28B,10,0,Q6ZN17,2280.0
LIPC,24,0,P11150,4313.0
LMCD1,2,0,Q9NZU5,14641.0
LMF1,4,0,Q96S06,15345.0
LMNA,8,0,P02545,15190.0
LMO2,14,0,P25791,5479.0
LMO7,2,0,Q8WWI1,2304.0
LOXL1,12,0,Q08397,5341.0
LPAR1,6,0,Q92633,4921.0
LPAR3,6,0,Q9UBY5,17901.0
LPAR5,6,0,Q9H1C0,17489.0
LPCAT2,4,0,Q7L5N7,17022.0
LPIN1,12,0,Q14693,5996.0
LPL,46,0,P06858,4269.0
LPP,2,0,Q93052,15620.0
LRG1,2,1,P02750,8819.0
LRIG1,4,0,Q96JA1,4781.0
LRRC7,8,0,Q96NW7,5397.0
LRRK2,20,0,Q5S007,15059.0
LRRTM4,6,0,Q86VH4,17889.0
LSM2,10,0,Q9Y333,1525.0
LSM8,10,0,O95777,15406.0
LTBP2,10,0,Q14767,2262.0
LTF,20,0,P02788,6026.0
LUC7L3,8,0,O95232,11178.0
LY86,10,0,O95711,2161.0
LYN,62,1,P07948,8416.0
LYZ,2,0,P61626,8128.0
MACROD2,2,0,A1Z1Q3,9258.0
MAFB,10,0,Q9Y5Q3,4994.0
MAGI2,2,0,Q86UL8,2367.0
MAN1B1,2,0,Q9UKM7,12280.0
MAOA,10,0,P21397,16137.0
MAP2,12,1,P11137,6050.0
MAP3K5,12,0,Q99683,6959.0
MAPT,30,0,P10636,6681.0
MCF2,4,0,P10911,14765.0
MCM2,16,1,P49736,8347.0
MCM7,18,1,P33993,12900.0
MDK,10,1,P21741,6939.0
ME1,8,0,P48163,15777.0
MEGF6,2,0,O75095,16996.0
MELK,34,0,Q14680,6113.0
MERTK,2,0,Q12866,16530.0
MFAP2,6,0,P55001,4037.0
MFAP5,10,0,Q13361,3941.0
MFNG,2,0,O00587,930.0
MGAT4A,2,0,Q9UM21,10854.0
MGMT,18,1,P16455,4263.0
MGST1,12,0,P10620,2029.0
MICA,2,0,Q29983,4207.0
MICAL2,2,0,O94851,1922.0
MICALL1,4,0,Q8N3F8,38.0
MISP,2,0,Q8IVT2,15229.0
MKI67,24,1,P46013,17621.0
MLPH,6,0,Q9BV36,531.0
MME,24,1,P08473,9028.0
MMP14,24,1,P50281,15400.0
MMP19,2,1,Q99542,4113.0
MMP26,2,1,Q9NRE1,11371.0
MMP9,110,1,P14780,9103.0
MN1,2,0,Q10571,14567.0
MNDA,14,0,P41218,15696.0
MRC1,30,0,P22897,5775.0
MREG,6,0,Q8N565,10591.0
MRTFB,4,0,Q9ULH7,13902.0
MS4A4A,10,0,Q96JQ5,17040.0
MS4A6A,14,0,Q9H2W1,8536.0
MS4A7,6,0,Q9GZW8,2761.0
MSC,2,0,O60682,16918.0
MSH6,14,1,P52701,12893.0
MSI1,4,1,O43347,18117.0
MSR1,8,0,P21757,1261.0
MST1,2,1,Q13043,2121.0
MSX1,6,0,P28360,10127.0
MTSS1,6,0,O43312,11199.0
MTUS1,6,0,Q9ULD2,11352.0
MX1,38,0,P20591,15438.0
MYBPC1,2,0,Q00872,17152.0
MYC,108,1,P01106,8301.0
MYH9,30,0,P35579,8406.0
MYL9,22,0,P24844,610.0
MYLK,22,0,Q15746,2119.0
MYO1C,6,1,Q12965,9610.0
MYO5A,8,0,Q9Y4I1,15157.0
MYO9A,2,0,B2RTY4,14525.0
MYOCD,10,0,Q8IZQ8,5951.0
NAMPT,8,1,P43490,519.0
NANOG,50,1,Q9H9S0,1134.0
NAV2,2,0,Q8IVL1,7745.0
NBEA,6,0,Q8NFP9,4667.0
NCALD,4,0,P61601,4077.0
NCAM1,42,0,P13591,15437.0
NCAN,10,0,O14594,17630.0
NCKAP1L,8,1,P55160,18108.0
NDC80,26,0,O14777,7228.0
NDUFA1,8,1,O15239,8264.0
NDUFA13,12,1,Q9P0J0,10139.0
NDUFAF6,2,0,Q330K2,12721.0
NDUFB8,12,1,O95169,5268.0
NDUFS3,20,0,O75489,10908.0
NDUFS5,8,1,O43920,2416.0
NECTIN3,2,0,Q9NQS3,2803.0
NEGR1,2,0,Q7Z3B1,3511.0
NELFA,4,0,Q9H3P2,4995.0
NELL1,4,0,Q92832,11421.0
NES,46,1,P48681,1448.0
NETO1,2,0,Q8TDF5,2887.0
NF2,12,0,P35240,11207.0
NFATC4,2,0,Q14934,13780.0
NFE2L2,30,1,Q16236,10674.0
NFE2L3,4,0,Q9Y4A8,11343.0
NFIA,4,0,Q12857,6583.0
NFKBIA,36,1,P25963,4747.0
NGF,38,1,P01138,3519.0
NID1,20,0,P14543,2401.0
NKAIN1,2,1,Q4KMZ8,15472.0
NKX2-1,6,1,P43699,7992.0
NLGN1,14,0,Q8N2Q7,16494.0
NLRC4,16,1,Q9NPP4,13322.0
NLRP2,8,0,Q9NX02,17465.0
NLRP3,26,0,Q96P20,9018.0
NOTCH1,40,1,P46531,8818.0
NOVA1,8,0,P51513,5423.0
NOXO1,2,0,Q8NFA2,7940.0
NPAS2,8,1,Q99743,17076.0
NPPB,6,0,P16860,17542.0
NPR3,2,0,P17342,5261.0
NPY,8,0,P01303,15159.0
NQO1,14,0,P15559,296.0
NR2F2,12,0,P24468,4632.0
NRARP,6,0,Q7Z6K4,16178.0
NRCAM,16,0,Q92823,7966.0
NRG1,14,0,Q02297,2474.0
NRG2,6,0,O14511,6954.0
NRN1,4,0,Q9NPD7,1929.0
NRXN1,16,0,Q9ULB1,1476.0
NT5E,30,0,P21589,568.0
NTF3,10,0,P20783,11733.0
NTN1,10,1,O95631,2459.0
NTN4,2,0,Q9HB63,11244.0
NTRK2,58,1,Q16620,2044.0
NUB1,2,0,Q9Y5A7,1296.0
NUDT6,2,0,P53370,10138.0
NUP153,8,0,P49790,9559.0
NXPH1,2,0,P58417,1606.0
OAS1,36,0,P00973,5896.0
OCA2,4,0,Q04671,3451.0
OLFM1,2,0,Q99784,4458.0
OLFML3,2,0,Q9NRN5,1992.0
OLIG1,12,0,Q8TAK6,11073.0
OLIG2,26,1,Q13516,14738.0
OPN4,2,1,Q9UHM6,9380.0
OTUD5,2,0,Q96G74,16481.0
P2RX7,12,0,Q99572,17534.0
P2RY1,8,0,P47900,16952.0
P2RY12,16,0,Q9H244,17709.0
P2RY13,4,0,Q9BPV8,2940.0
P4HB,14,1,P07237,10813.0
PACSIN2,8,0,Q9UNF0,15452.0
PAG1,2,0,Q9NWQ8,17306.0
PAICS,2,1,P22234,17014.0
PAK3,8,0,O75914,674.0
PAPPA,10,0,Q13219,3081.0
PARD6A,2,1,Q9NPB6,8856.0
PARP15,2,0,Q460N3,12091.0
PARP9,26,1,Q8IXQ6,8719.0
PARVA,12,0,Q9NVD7,6755.0
PATZ1,2,1,Q9HBE1,1643.0
PAWR,6,0,Q96IZ0,11717.0
PC,14,0,P11498,4253.0
PCBP4,2,0,P57723,12648.0
PCSK1N,2,0,Q9UHG2,1974.0
PDE1C,8,0,Q14123,14130.0
PDE4B,16,0,Q07343,18127.0
PDE4D,12,0,Q08499,14804.0
