SYMBOL,degree,is_biomarker
PCOLCE2,2,0
PCSK5,4,0
PDE11A,6,0
PDE2A,6,0
PDE3B,10,0
PDE4D,10,1
PDE7B,4,0
PDE8B,2,0
PDGFD,14,0
PDK4,4,0
PEMT,6,0
PER3,6,0
PFKFB1,6,0
PFKFB3,2,0
PGM5,10,0
PHLDA2,2,0
PIK3CA,70,1
PIK3R1,62,0
PIMREG,14,0
PIP,8,0
PKD2L1,2,0
PKP3,8,0
PLA2G4A,8,0
PLA2G7,14,0
PLAAT3,12,0
PLAGL1,8,0
PLAUR,8,0
PLIN1,26,0
PLIN4,6,0
PLIN5,4,0
PLP1,2,0
PLPP2,32,0
PLPP3,32,0
PLPP5,20,0
PLXNA4,6,0
PNN,4,0
PNPLA2,34,0
POSTN,18,0
PPARG,86,0
PPBP,16,0
PPL,12,0
PPP1R1A,4,0
PPP2R1B,10,0
PPP2R2C,10,0
PRC1,104,0
PRELP,10,0
PREX2,2,0
PRG4,2,0
PRIMA1,2,0
PRKAR2B,4,0
PRKCI,22,0
PRLR,10,0
PRSS8,4,0
PSMA5,6,0
PSMB4,4,0
PSME4,4,0
PTEN,90,1
PTGER3,4,0
PTGIS,4,0
PTH1R,8,0
PTHLH,8,1
PTK6,10,0
PTPN11,56,0
PTPN21,2,0
PTPRB,6,0
PTTG1,100,0
PXDN,28,0
PYGL,10,0
PYGM,10,0
QKI,6,0
QPRT,8,0
RAB11FIP1,4,0
RAB25,6,0
RAB27B,6,0
RAB3IP,4,0
RABIF,18,0
RAD51AP1,80,0
RAD51B,30,1
RAD51C,38,1
RAN,12,0
RAPGEF3,14,0
RARRES2,4,0
RASA3,6,0
RASGRF2,6,0
RB1,38,1
RBMS2,2,0
RBMS3,2,0
RBP4,6,0
RBPMS,6,0
RBPMS2,4,0
RDH11,6,0
RDH5,4,0
RECK,4,0
REL,14,1
RETSAT,10,0
RFX2,2,0
RGCC,4,0
RGMA,2,0
RGN,4,0
RGS1,2,0
RGS4,6,0
RHOH,2,0
RHOJ,6,0
RHOQ,6,0
RIN3,2,1
RMI2,16,0
RNASE1,2,0
RNASE4,2,0
RNF43,10,0
ROBO4,8,0
ROPN1L,2,1
RORA,14,1
RPS21,10,0
RRM2,120,0
RUNX1T1,8,0
RUNX2,54,0
S100A4,14,0
S100B,12,0
S1PR1,10,0
SAMD4A,2,0
SAP30,2,0
SCD,20,0
SCGB2A2,2,0
SCN4B,6,0
SDC1,44,0
SELENOI,14,0
SEMA6A,2,0
SERPINE1,34,0
SERPINF1,6,0
SETBP1,2,1
SFN,24,0
SFRP1,6,0
SGCB,10,0
SGCG,10,0
SGK2,2,0
SGO2,26,0
SGPP2,12,0
SHANK3,4,0
SHCBP1,54,0
SHROOM3,4,0
SIAH2,4,1
SIX4,2,0
SLC11A2,4,0
SLC12A2,2,0
SLC1A3,4,0
SLC22A3,2,0
SLC29A4,2,0
SLC38A1,2,0
SLC4A4,2,0
SLC4A7,6,1
SLC7A5,8,0
SLC7A8,2,0
SLIT3,4,0
SMAD2,50,1
SMAD4,68,1
SMARCA4,58,0
SMC4,66,0
SNRPB,8,0
SNX1,4,0
SOD3,6,0
SORBS1,10,0
SORBS2,2,0
SORD,10,0
SOX11,8,0
SOX17,12,0
SOX4,12,0
SOX5,6,0
SOX6,4,0
SPA17,2,0
SPAG1,2,0
SPAG5,90,0
SPART,2,0
SPDEF,4,0
SPINT1,4,0
SPINT2,8,0
SPP1,38,0
SPRY2,4,0
SPTBN1,6,0
SPX,2,0
SQLE,12,0
SRD5A1,10,0
SRD5A3,8,0
SRSF10,6,0
SSBP4,2,1
SSPN,8,0
ST14,4,0
STARD13,2,0
STAT1,68,0
STAT5A,52,0
STBD1,6,0
STK26,2,0
STS,2,0
STX11,8,0
STX12,6,0
STX3,10,0
STX6,6,0
STXBP1,8,0
SV2B,2,0
SVEP1,2,0
SYN2,4,0
SYNM,2,0
SYTL1,4,0
TAB2,6,1
TACC1,4,0
TACR1,2,0
TACSTD2,6,0
TAL1,16,0
TBX3,2,1
TCF7L1,18,0
TCF7L2,22,1
TDO2,6,0
TEF,2,0
TERT,24,1
TET1,6,1
TET2,20,1
TF,2,0
TFAP2A,18,0
TFAP2B,4,0
TFE3,2,0
TFF3,6,0
TGFBR2,22,1
TGFBR3,6,0
THRB,12,0
THRSP,2,0
TIA1,4,0
TIMP4,8,0
TJP3,18,0
TK1,70,0
TK2,6,0
TLN2,28,0
TLR3,12,0
TMEM132A,2,0
TMEM30B,2,0
TMPO,2,0
TMTC1,6,0
TNFRSF12A,2,0
TNMD,4,0
TNNT3,2,1
TNPO1,6,0
TNS1,4,0
TNS2,2,0
TNS3,2,0
TOB1,4,0
TOP2A,148,0
TOX3,16,1
TP53,254,1
TPD52,2,0
TPX2,128,0
TRAF4,2,0
TREM2,8,0
TRIB3,6,0
TRIP13,86,0
TSLP,6,0
TSPAN4,2,0
TTK,124,0
TWIST1,30,0
TWIST2,6,0
TXNIP,4,0
TYMS,84,0
TYRO3,2,0
UBE2C,126,0
UBE2S,34,0
UBE2T,58,0
UGCG,12,0
UHRF1,46,0
USHBP1,2,1
VAV3,8,0
VIM,16,0
VLDLR,12,0
VWF,36,0
WASF3,2,0
WDR43,4,1
WHRN,6,0
WNT11,10,0
XBP1,16,0
ZBTB16,10,0
ZEB2,8,0
ZFPM2,2,0
ZMYND8,2,0
ZNF365,2,1
ZNF423,10,0
ZNF521,4,0
ZWILCH,38,0
ZWINT,118,0
