Gene,GO_Description_Text
CCDC187,[BP] microtubule anchoring [CC] centrosome [MF] microtubule binding
UQCRHL,"[BP] mitochondrial electron transport, ubiquinol to cytochrome c [CC] membrane; mitochondrial inner membrane; mitochondrion; respiratory chain complex; respiratory chain complex III [MF] None"
OR4N4C,[BP] G protein-coupled receptor signaling pathway; detection of chemical stimulus involved in sensory perception of smell; sensory perception of smell; signal transduction [CC] membrane; plasma membrane [MF] G protein-coupled receptor activity; olfactory receptor activity
IGKV2D-26,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGKV3D-11,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGLV5-52,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGLV3-32,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
TRGV10,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; external side of plasma membrane; membrane; plasma membrane [MF] None
TRGV1,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; external side of plasma membrane; membrane; plasma membrane [MF] None
TRBV5-3,[BP] adaptive immune response; cell surface receptor signaling pathway; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRBV6-7,[BP] adaptive immune response; cell surface receptor signaling pathway; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRBV5-7,[BP] adaptive immune response; cell surface receptor signaling pathway; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRBV23-1,[BP] adaptive immune response; cell surface receptor signaling pathway; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
IGHV1-45,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV3-49,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGKV6D-21,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
TRBJ2-6,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
IGLJ1,[BP] adaptive immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
TRBJ2-7,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRBJ2-4,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
IGKJ1,[BP] adaptive immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
TRBJ2-2,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRBJ2-5,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRBJ2-1,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV14DV4,[BP] adaptive immune response; immune response; immune system process [CC] T cell receptor complex; immunoglobulin complex; membrane; plasma membrane [MF] None
TRBV13,[BP] adaptive immune response; cell surface receptor signaling pathway; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRBV6-6,[BP] adaptive immune response; cell surface receptor signaling pathway; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRBV6-8,[BP] adaptive immune response; cell surface receptor signaling pathway; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV8-3,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV8-1,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRBV7-1,[BP] adaptive immune response; cell surface receptor signaling pathway; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV16,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV19,[BP] adaptive immune response; immune response; immune system process [CC] T cell receptor complex; immunoglobulin complex; membrane; plasma membrane [MF] MHC protein binding; peptide antigen binding
LY6G6E,[BP] acetylcholine receptor signaling pathway; desensitization of G protein-coupled receptor signaling pathway [CC] plasma membrane; synapse [MF] acetylcholine receptor activator activity; acetylcholine receptor binding
IGLV1-36,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
TRGV5,[BP] adaptive immune response; immune system process; innate immune response [CC] T cell receptor complex; external side of plasma membrane; membrane; plasma membrane [MF] None
TRBV9,[BP] adaptive immune response; cell surface receptor signaling pathway; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
IGHV6-1,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV3-15,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV3-21,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV2-26,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV3-73,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV7-81,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV3-74,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGHV3-43,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGLV9-49,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
IGHV3-72,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
IGKV1D-43,[BP] adaptive immune response; immune response; immune system process [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] None
TRBJ2-3,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV2,[BP] adaptive immune response; immune response; immune system process [CC] T cell receptor complex; immunoglobulin complex; membrane; plasma membrane [MF] None
TRAV13-2,[BP] adaptive immune response; immune system process; response to bacterium [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV8-2,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV1-2,[BP] adaptive immune response; immune system process; response to bacterium [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV10,[BP] adaptive immune response; immune system process; response to bacterium [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV13-1,[BP] adaptive immune response; immune system process; response to bacterium [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV3,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV12-1,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] peptide antigen binding
TRAV1-1,[BP] adaptive immune response; immune system process; response to bacterium [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV5,[BP] adaptive immune response; immune system process; response to bacterium [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV8-6,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV39,[BP] adaptive immune response; immune system process; response to bacterium [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV38-1,[BP] adaptive immune response; immune response; immune system process [CC] T cell receptor complex; immunoglobulin complex; membrane; plasma membrane [MF] None
TRAV26-2,[BP] adaptive immune response; immune system process; response to bacterium [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV41,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV4,[BP] adaptive immune response; immune system process; response to bacterium [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV12-3,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] peptide antigen binding
TRAV24,[BP] adaptive immune response; immune system process; response to bacterium [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV34,[BP] adaptive immune response; immune system process; response to bacterium [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV20,[BP] adaptive immune response; immune system process; response to bacterium [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV17,[BP] adaptive immune response; immune system process; response to bacterium [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV25,[BP] adaptive immune response; immune system process; response to bacterium [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV22,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV21,[BP] adaptive immune response; immune system process; response to bacterium [CC] T cell receptor complex; membrane; plasma membrane [MF] None
TRAV40,[BP] adaptive immune response; immune system process [CC] T cell receptor complex; membrane; plasma membrane [MF] None
PPIAL4C,[BP] protein folding [CC] cytoplasm [MF] cyclosporin A binding; isomerase activity; peptidyl-prolyl cis-trans isomerase activity
IGHV3OR16-9,[BP] adaptive immune response; immune system process; immunoglobulin mediated immune response [CC] extracellular region; immunoglobulin complex; membrane; plasma membrane [MF] antigen binding
