Gene,GO_Description_Text
UBE2V2,[BP] DNA double-strand break processing; error-free postreplication DNA repair; positive regulation of double-strand break repair; positive regulation of protein K63-linked ubiquitination; postreplication repair; protein K63-linked ubiquitination; protein polyubiquitination; protein ubiquitination; regulation of DNA repair [CC] UBC13-MMS2 complex; cytoplasm; extracellular exosome; nucleoplasm; nucleus; ubiquitin conjugating enzyme complex [MF] protein binding
CHRNA2,"[BP] acetylcholine receptor signaling pathway; cellular response to nicotine; excitatory postsynaptic potential; membrane depolarization; modulation of inhibitory postsynaptic potential; monoatomic ion transmembrane transport; monoatomic ion transport; neuromuscular synaptic transmission; presynaptic modulation of chemical synaptic transmission; regulation of postsynaptic membrane potential; regulation of synaptic plasticity; response to acetylcholine; response to nicotine; signal transduction; synaptic transmission, cholinergic [CC] acetylcholine-gated channel complex; cation channel complex; cell periphery; intercellular bridge; membrane; neuron projection; neuron projection cytoplasm; neurotransmitter receptor complex; nucleoplasm; plasma membrane; postsynaptic membrane; presynapse; protein-containing complex; synapse; synaptic membrane [MF] acetylcholine receptor activity; acetylcholine-gated monoatomic cation-selective channel activity; extracellular ligand-gated monoatomic ion channel activity; heterocyclic compound binding; monoatomic ion channel activity; quaternary ammonium group binding; transmembrane signaling receptor activity"
CHRNA6,"[BP] acetylcholine receptor signaling pathway; behavioral response to nicotine; chemical synaptic transmission; excitatory postsynaptic potential; membrane depolarization; monoatomic ion transmembrane transport; monoatomic ion transport; neuromuscular synaptic transmission; presynaptic modulation of chemical synaptic transmission; regulation of dopamine secretion; regulation of postsynaptic membrane potential; response to nicotine; signal transduction; synaptic transmission, cholinergic [CC] acetylcholine-gated channel complex; cation channel complex; dopaminergic synapse; membrane; neuron projection; neurotransmitter receptor complex; plasma membrane; postsynaptic membrane; presynaptic membrane; synapse; synaptic membrane [MF] acetylcholine receptor activity; acetylcholine-gated monoatomic cation-selective channel activity; extracellular ligand-gated monoatomic ion channel activity; monoatomic ion channel activity; protein binding; transmembrane signaling receptor activity"
CST6,[BP] anatomical structure morphogenesis; epidermis development [CC] cornified envelope; extracellular exosome; extracellular region [MF] cysteine-type endopeptidase inhibitor activity; peptidase inhibitor activity; protein binding
STK11,[BP] DNA damage response; G1 to G0 transition; Golgi localization; T cell receptor signaling pathway; activation of protein kinase activity; anoikis; apoptotic process; autophagy; axonogenesis; cell differentiation; cellular response to UV-B; dendrite extension; epithelial cell proliferation involved in prostate gland development; establishment of cell polarity; glucose homeostasis; intrinsic apoptotic signaling pathway by p53 class mediator; negative regulation of TORC1 signaling; negative regulation of canonical Wnt signaling pathway; negative regulation of cell growth; negative regulation of cell population proliferation; negative regulation of cold-induced thermogenesis; negative regulation of epithelial cell proliferation involved in prostate gland development; peptidyl-threonine phosphorylation; positive regulation of autophagy; positive regulation of axonogenesis; positive regulation of protein localization to nucleus; positive regulation of transforming growth factor beta receptor signaling pathway; positive regulation of vesicle transport along microtubule; positive thymic T cell selection; protein autophosphorylation; protein dephosphorylation; protein localization to nucleus; protein phosphorylation; regulation of Wnt signaling pathway; regulation of cell cycle; regulation of cell growth; regulation of dendrite morphogenesis; regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; regulation of signal transduction by p53 class mediator; response to ionizing radiation; signal transduction; spermatogenesis; tissue homeostasis; vasculature development [CC] centrosome; cilium; cytoplasm; cytosol; extracellular exosome; intracellular protein-containing complex; membrane; mitochondrion; nucleoplasm; nucleus; serine/threonine protein kinase complex [MF] ATP binding; LRR domain binding; kinase activity; magnesium ion binding; metal ion binding; nucleotide binding; p53 binding; protein binding; protein kinase activator activity; protein kinase activity; protein serine kinase activity; protein serine/threonine kinase activity; transferase activity
STXBP2,[BP] cellular response to type II interferon; exocytosis; intracellular protein transport; leukocyte mediated cytotoxicity; neutrophil degranulation; presynaptic dense core vesicle exocytosis; protein transport; regulated exocytosis; regulation of mast cell degranulation; vesicle docking involved in exocytosis; vesicle-mediated transport [CC] apical plasma membrane; azurophil granule; cytolytic granule; cytosol; extracellular exosome; extracellular region; phagocytic vesicle; plasma membrane; presynapse; secretory granule; specific granule; tertiary granule; zymogen granule membrane [MF] protein binding; syntaxin binding; syntaxin-1 binding; syntaxin-3 binding
CCDC85B,[BP] cell differentiation; negative regulation of DNA-templated transcription; negative regulation of cell growth; negative regulation of fat cell differentiation [CC] adherens junction; anchoring junction; centrosome; cytoplasm; cytoskeleton; nucleus [MF] delta-catenin binding; protein binding
GRK1,[BP] G protein-coupled opsin signaling pathway; protein autophosphorylation; regulation of G protein-coupled receptor signaling pathway; regulation of opsin-mediated signaling pathway; regulation of signal transduction; response to light stimulus; signal transduction; visual perception [CC] cell projection; cytoplasm; membrane; photoreceptor disc membrane; photoreceptor outer segment [MF] ATP binding; G protein-coupled receptor kinase activity; kinase activity; nucleotide binding; protein kinase activity; protein serine/threonine kinase activity; rhodopsin kinase activity; transferase activity
VAMP3,"[BP] Golgi to plasma membrane protein transport; SNARE complex assembly; calcium-ion regulated exocytosis; cellular response to type II interferon; establishment of localization in cell; exocytosis; membrane fusion; mucus secretion; negative regulation of secretion by cell; positive regulation of immunoglobulin production; positive regulation of receptor recycling; protein transport; protein-containing complex assembly; regulation of histamine secretion by mast cell; retrograde transport, endosome to Golgi; substrate adhesion-dependent cell spreading; vesicle docking involved in exocytosis; vesicle fusion; vesicle-mediated transport [CC] SNARE complex; cell surface; clathrin-coated endocytic vesicle membrane; clathrin-coated vesicle; cytoplasmic vesicle; cytosol; early endosome; early endosome membrane; endosome; intracellular membrane-bounded organelle; membrane; neuron projection; perinuclear region of cytoplasm; phagocytic vesicle; phagocytic vesicle membrane; plasma membrane; recycling endosome; recycling endosome membrane; secretory granule; synapse; trans-Golgi network membrane; transport vesicle [MF] SNAP receptor activity; protein binding; syntaxin-1 binding"
KCNJ8,"[BP] CAMKK-AMPK signaling cascade; NLRP3 inflammasome complex assembly; action potential; adaptive immune response; apoptotic process; atrioventricular node cell differentiation; blood vessel development; calcium ion transmembrane transport; cardiac pacemaker cell differentiation; cell population proliferation; circulatory system development; coronary vasculature development; defense response to virus; determination of adult lifespan; establishment of cell polarity; fat cell differentiation; fatty acid transport; fibroblast proliferation; gene expression; glutamate secretion, neurotransmission; heart development; heart morphogenesis; inflammatory response; inorganic cation transmembrane transport; kidney development; membrane repolarization during ventricular cardiac muscle cell action potential; microglial cell activation; monoatomic ion transmembrane transport; monoatomic ion transport; nervous system process; neuromuscular process; p38MAPK cascade; potassium ion import across plasma membrane; potassium ion transmembrane transport; potassium ion transport; protein secretion; reactive gliosis; regulation of blood pressure; regulation of heart rate; regulation of monoatomic ion transmembrane transport; regulation of presynaptic membrane potential; response to ATP; response to cytokine; response to endoplasmic reticulum stress; response to exogenous dsRNA; response to hypoxia; response to insulin; response to ischemia; response to lipopolysaccharide; response to resveratrol; response to stress; response to xenobiotic stimulus; synaptic assembly at neuromuscular junction; transmission of nerve impulse; transport across blood-brain barrier; vasculature development; vasodilation; ventricular cardiac muscle tissue development [CC] glutamatergic synapse; inward rectifying potassium channel; membrane; monoatomic ion channel complex; myofibril; plasma membrane; potassium ion-transporting ATPase complex; presynapse; presynaptic active zone membrane; protein-containing complex; sarcolemma; voltage-gated potassium channel complex [MF] ATP binding; ATP-activated inward rectifier potassium channel activity; ATPase-coupled monoatomic cation transmembrane transporter activity; inward rectifier potassium channel activity; protein binding; sulfonylurea receptor binding; voltage-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential; voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization"
NEDD8,[BP] anatomical structure morphogenesis; cellular response to camptothecin; modification-dependent protein catabolic process; protein localization; protein modification process; protein neddylation; protein ubiquitination; proteolysis; regulation of postsynapse assembly; regulation of proteolysis; regulation of transcription by RNA polymerase II; ubiquitin-dependent protein catabolic process [CC] cytoplasm; cytosol; extracellular exosome; glutamatergic synapse; nucleoplasm; nucleus; postsynapse [MF] protein binding; protein tag activity; ubiquitin protein ligase binding
CLUL1,[BP] None [CC] extracellular region; extracellular space; nucleus [MF] misfolded protein binding
ADIRF,[BP] cell differentiation; positive regulation of fat cell differentiation; positive regulation of transcription by RNA polymerase II [CC] cytosol; extracellular exosome; nucleoplasm; nucleus [MF] protein binding
ADIPOQ,[BP] adiponectin-activated signaling pathway; brown fat cell differentiation; cellular response to cAMP; cellular response to epinephrine stimulus; cellular response to insulin stimulus; cellular response to xenobiotic stimulus; circadian rhythm; detection of oxidative stress; fatty acid beta-oxidation; fatty acid oxidation; gene expression; generation of precursor metabolites and energy; glucose homeostasis; glucose metabolic process; low-density lipoprotein particle clearance; negative regulation of DNA biosynthetic process; negative regulation of DNA-templated transcription; negative regulation of ERK1 and ERK2 cascade; negative regulation of MAP kinase activity; negative regulation of blood pressure; negative regulation of canonical NF-kappaB signal transduction; negative regulation of cell migration; negative regulation of cholesterol import; negative regulation of cold-induced thermogenesis; negative regulation of fat cell differentiation; negative regulation of gluconeogenesis; negative regulation of granulocyte differentiation; negative regulation of heterotypic cell-cell adhesion; negative regulation of hormone secretion; negative regulation of inflammatory response; negative regulation of intracellular protein transport; negative regulation of macrophage derived foam cell differentiation; negative regulation of macrophage differentiation; negative regulation of metanephric mesenchymal cell migration; negative regulation of phagocytosis; negative regulation of platelet-derived growth factor receptor signaling pathway; negative regulation of platelet-derived growth factor receptor-alpha signaling pathway; negative regulation of protein autophosphorylation; negative regulation of receptor binding; negative regulation of receptor-mediated endocytosis; negative regulation of synaptic transmission; negative regulation of tumor necrosis factor production; negative regulation of tumor necrosis factor-mediated signaling pathway; negative regulation of vascular associated smooth muscle cell migration; negative regulation of vascular associated smooth muscle cell proliferation; positive regulation of D-glucose import; positive regulation of cAMP-dependent protein kinase activity; positive regulation of cAMP/PKA signal transduction; positive regulation of canonical NF-kappaB signal transduction; positive regulation of cholesterol efflux; positive regulation of cold-induced thermogenesis; positive regulation of fatty acid metabolic process; positive regulation of glycogen (starch) synthase activity; positive regulation of interleukin-8 production; positive regulation of metanephric podocyte development; positive regulation of monocyte chemotactic protein-1 production; positive regulation of myeloid cell apoptotic process; positive regulation of protein phosphorylation; positive regulation of renal albumin absorption; positive regulation of signal transduction; protein localization to plasma membrane; regulation of glucose metabolic process; response to activity; response to bacterium; response to ethanol; response to glucocorticoid; response to glucose; response to hypoxia; response to linoleic acid; response to nutrient; response to nutrient levels; response to sucrose; response to tumor necrosis factor; response to xenobiotic stimulus [CC] cell surface; collagen trimer; endoplasmic reticulum; extracellular matrix; extracellular region; extracellular space; protein-containing complex [MF] cytokine activity; extracellular matrix structural constituent; hormone activity; identical protein binding; protein binding; protein homodimerization activity; protein serine/threonine kinase activator activity; sialic acid binding; signaling receptor binding
SLC14A2,[BP] transmembrane transport; urea transmembrane transport; urea transport [CC] apical plasma membrane; membrane; plasma membrane [MF] cell adhesion molecule binding; protein binding; urea transmembrane transporter activity
USF2,"[BP] cellular response to glucose stimulus; glucose mediated signaling pathway; lactation; late viral transcription; lipid homeostasis; positive regulation of DNA-templated transcription; positive regulation of transcription by RNA polymerase II; positive regulation of transcription from RNA polymerase II promoter by glucose; regulation of transcription by RNA polymerase II; regulation of transcription from RNA polymerase II promoter by glucose [CC] chromatin; nucleoplasm; nucleus [MF] DNA binding; DNA-binding transcription activator activity, RNA polymerase II-specific; DNA-binding transcription factor activity; DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; bHLH transcription factor binding; protein binding; protein dimerization activity; protein heterodimerization activity; protein homodimerization activity; sequence-specific DNA binding; sequence-specific double-stranded DNA binding"
SCN9A,[BP] action potential; action potential propagation; behavioral response to pain; cardiac muscle cell action potential involved in contraction; circadian rhythm; detection of mechanical stimulus involved in sensory perception; detection of temperature stimulus involved in sensory perception of pain; inflammatory response; monoatomic ion transmembrane transport; monoatomic ion transport; neuronal action potential; post-embryonic development; response to toxic substance; sensory perception of pain; sodium ion transmembrane transport; sodium ion transport; transmembrane transport [CC] axon; axon terminus; cell projection; membrane; monoatomic ion channel complex; neuron projection; node of Ranvier; plasma membrane; voltage-gated sodium channel complex [MF] monoatomic cation channel activity; monoatomic ion channel activity; protein binding; sodium channel activity; voltage-gated sodium channel activity
CACNA1E,[BP] calcium ion import across plasma membrane; calcium ion transmembrane transport; calcium ion transport; chemical synaptic transmission; monoatomic ion transmembrane transport; monoatomic ion transport; transmembrane transport [CC] membrane; monoatomic ion channel complex; neuronal cell body; plasma membrane; synapse; voltage-gated calcium channel complex [MF] calcium channel activity; calcium ion binding; high voltage-gated calcium channel activity; metal ion binding; monoatomic ion channel activity; voltage-gated calcium channel activity; voltage-gated monoatomic cation channel activity
ENTREP1,[BP] CXCL12-activated CXCR4 signaling pathway; negative adaptation of signaling pathway; receptor internalization [CC] early endosome membrane; endosome; late endosome membrane; membrane; plasma membrane; recycling endosome membrane [MF] protein binding; ubiquitin ligase activator activity
ATP6AP1,[BP] Golgi lumen acidification; cellular response to increased oxygen levels; endosomal lumen acidification; endosome to plasma membrane protein transport; intracellular iron ion homeostasis; intracellular pH reduction; lysosomal lumen acidification; monoatomic ion transport; osteoclast development; proton transmembrane transport; regulation of cellular pH; synaptic vesicle lumen acidification; vacuolar acidification [CC] Golgi membrane; bounding membrane of organelle; clathrin-coated vesicle membrane; cytoplasmic vesicle; cytoplasmic vesicle membrane; endomembrane system; endoplasmic reticulum; endoplasmic reticulum membrane; endoplasmic reticulum-Golgi intermediate compartment membrane; endosome membrane; extracellular exosome; lysosomal membrane; membrane; plasma membrane; proton-transporting V-type ATPase complex; proton-transporting two-sector ATPase complex; synapse; synaptic vesicle membrane [MF] ATPase activator activity; protein binding; small GTPase binding; transporter activator activity
VPS72,[BP] chromatin organization; chromatin remodeling; negative regulation of transcription by RNA polymerase II; positive regulation of DNA-templated transcription; positive regulation of double-strand break repair via homologous recombination; regulation of DNA-templated transcription; regulation of apoptotic process; regulation of cell cycle; regulation of double-strand break repair; somatic stem cell population maintenance; transcription initiation-coupled chromatin remodeling [CC] NuA4 histone acetyltransferase complex; nuclear speck; nucleoplasm; nucleosome; nucleus; protein-containing complex [MF] DNA binding; histone binding; histone chaperone activity; protein binding
RAB11B,[BP] amyloid-beta clearance by transcytosis; cellular response to acidic pH; constitutive secretory pathway; endocytic recycling; establishment of protein localization to membrane; insulin secretion involved in cellular response to glucose stimulus; melanosome transport; protein transport; receptor recycling; regulated exocytosis; regulation of endocytic recycling; regulation of monoatomic anion transport; regulation of protein localization to cell surface; transferrin transport; vesicle-mediated transport to the plasma membrane [CC] Golgi apparatus; cytoplasm; cytoplasmic vesicle; cytosol; endosome; extracellular exosome; membrane; phagocytic vesicle; phagocytic vesicle membrane; recycling endosome; recycling endosome membrane; synapse; synaptic vesicle; synaptic vesicle membrane [MF] G protein activity; GDP binding; GTP binding; GTPase activity; cadherin binding; hydrolase activity; myosin V binding; nucleotide binding; protein binding
EZH2,"[BP] B cell differentiation; DNA methylation-dependent constitutive heterochromatin formation; G1 to G0 transition; G1/S transition of mitotic cell cycle; cardiac muscle hypertrophy in response to stress; cellular response to hydrogen peroxide; cellular response to trichostatin A; cerebellar cortex development; chromatin organization; chromatin remodeling; epidermal cell differentiation; facultative heterochromatin formation; hemopoiesis; hepatocyte homeostasis; heterochromatin formation; hippocampus development; keratinocyte differentiation; liver regeneration; methylation; negative regulation of DNA-templated transcription; negative regulation of G1/S transition of mitotic cell cycle; negative regulation of cytokine production involved in inflammatory response; negative regulation of epidermal cell differentiation; negative regulation of gene expression; negative regulation of gene expression, epigenetic; negative regulation of keratinocyte differentiation; negative regulation of retinoic acid receptor signaling pathway; negative regulation of stem cell differentiation; negative regulation of striated muscle cell differentiation; negative regulation of transcription by RNA polymerase II; negative regulation of transcription elongation by RNA polymerase II; positive regulation of GTPase activity; positive regulation of MAP kinase activity; positive regulation of cell cycle G1/S phase transition; positive regulation of cell migration; positive regulation of cell population proliferation; positive regulation of dendrite development; positive regulation of epithelial to mesenchymal transition; positive regulation of protein serine/threonine kinase activity; protein localization to chromatin; protein modification process; regulation of DNA-templated transcription; regulation of cell population proliferation; regulation of circadian rhythm; regulation of gene expression; regulation of gliogenesis; regulation of kidney development; regulation of neurogenesis; regulation of transcription by RNA polymerase II; regulatory ncRNA-mediated heterochromatin formation; response to estradiol; response to tetrachloromethane; rhythmic process; skeletal muscle satellite cell maintenance involved in skeletal muscle regeneration; stem cell differentiation; subtelomeric heterochromatin formation; synaptic transmission, GABAergic [CC] ESC/E(Z) complex; chromatin; chromatin silencing complex; chromosome; chromosome, telomeric region; nucleoplasm; nucleus; pericentric heterochromatin; pronucleus; synapse [MF] DNA binding; RNA binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; RNA polymerase II core promoter sequence-specific DNA binding; chromatin DNA binding; chromatin binding; histone H3 methyltransferase activity; histone H3K27 methyltransferase activity; histone H3K27 trimethyltransferase activity; histone binding; histone methyltransferase activity; lncRNA binding; methyltransferase activity; nucleosome binding; primary miRNA binding; promoter-specific chromatin binding; protein binding; protein-lysine N-methyltransferase activity; ribonucleoprotein complex binding; sequence-specific DNA binding; transcription cis-regulatory region binding; transcription corepressor activity; transcription corepressor binding; transferase activity"
ZFHX3,"[BP] circadian regulation of gene expression; muscle organ development; negative regulation of transcription by RNA polymerase II; positive regulation of DNA-templated transcription; positive regulation of cell adhesion; positive regulation of transcription by RNA polymerase II; regulation of DNA-templated transcription; regulation of locomotor rhythm; regulation of neuron differentiation; regulation of transcription by RNA polymerase II; response to transforming growth factor beta [CC] chromatin; cytoplasm; nuclear body; nucleoplasm; nucleus; transcription regulator complex [MF] DNA binding; DNA-binding transcription factor activity; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; enzyme binding; metal ion binding; nucleic acid binding; protein binding; zinc ion binding"
ZIC1,"[BP] adult walking behavior; brain development; cell differentiation; central nervous system development; forebrain development; gene expression; hippocampus development; inner ear morphogenesis; maintenance of cell number; nervous system development; olfactory bulb development; pattern specification process; positive regulation of DNA-templated transcription; positive regulation of protein import into nucleus; positive regulation of transcription by RNA polymerase II; regulation of smoothened signaling pathway; regulation of transcription by RNA polymerase II; spinal cord development [CC] cytoplasm; nucleoplasm; nucleus [MF] DNA binding; DNA-binding transcription activator activity, RNA polymerase II-specific; DNA-binding transcription factor activity; DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; metal ion binding; protein binding; sequence-specific double-stranded DNA binding; zinc ion binding"
ZBTB6,"[BP] negative regulation of transcription by RNA polymerase II; regulation of cytokine production; regulation of immune system process [CC] mitochondrion; nucleoplasm; nucleus [MF] DNA binding; DNA-binding transcription repressor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; metal ion binding; protein binding; zinc ion binding"
ZNF141,"[BP] anatomical structure morphogenesis; limb morphogenesis; negative regulation of transcription by RNA polymerase II; regulation of DNA-templated transcription; transcription by RNA polymerase II [CC] nucleus [MF] DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; metal ion binding; zinc ion binding"
ZNF77,"[BP] regulation of DNA-templated transcription; regulation of transcription by RNA polymerase II [CC] nucleus [MF] DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II transcription regulatory region sequence-specific DNA binding; metal ion binding; protein binding; zinc ion binding"
ZNF79,"[BP] regulation of DNA-templated transcription; regulation of transcription by RNA polymerase II [CC] nucleus [MF] DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II transcription regulatory region sequence-specific DNA binding; metal ion binding; protein binding; zinc ion binding"
ZNF726P1,"[BP] regulation of transcription by RNA polymerase II [CC] nucleus [MF] DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; metal ion binding; sequence-specific DNA binding; zinc ion binding"
ZYX,[BP] cell adhesion; cell-cell signaling; cell-matrix adhesion; cellular response to type II interferon; integrin-mediated signaling pathway; stress fiber assembly; transforming growth factor beta receptor signaling pathway [CC] actin cytoskeleton; adherens junction; anchoring junction; cytoplasm; cytoskeleton; cytosol; focal adhesion; nucleus; phagocytic vesicle; plasma membrane; stress fiber [MF] RNA binding; metal ion binding; protein binding
ZNF124,"[BP] regulation of DNA-templated transcription; regulation of transcription by RNA polymerase II [CC] nucleus [MF] DNA binding; DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II transcription regulatory region sequence-specific DNA binding; metal ion binding; protein binding; zinc ion binding"
PMCHL1,"[BP] chemical synaptic transmission; negative regulation of synaptic transmission, dopaminergic; signal transduction [CC] extracellular region; synapse [MF] melanin-concentrating hormone activity; type 1 melanin-concentrating hormone receptor binding"
HSPB2,[BP] negative regulation of apoptotic process; protein refolding; response to heat; response to unfolded protein; somatic muscle development [CC] cytoplasm; cytosol; nucleus [MF] enzyme activator activity; protein binding; structural constituent of eye lens; unfolded protein binding
GRIK4,"[BP] chemical synaptic transmission; glutamate receptor signaling pathway; ionotropic glutamate receptor signaling pathway; modulation of chemical synaptic transmission; monoatomic ion transmembrane transport; monoatomic ion transport; regulation of postsynaptic membrane potential; regulation of presynaptic membrane potential; synaptic transmission, glutamatergic [CC] cell projection; hippocampal mossy fiber to CA3 synapse; kainate selective glutamate receptor complex; membrane; plasma membrane; postsynaptic density membrane; postsynaptic membrane; presynaptic membrane; synapse [MF] kainate selective glutamate receptor activity; ligand-gated monoatomic ion channel activity; ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential; monoatomic ion channel activity; signaling receptor activity; transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential"
ETFDH,"[BP] electron transport chain; fatty acid beta-oxidation using acyl-CoA dehydrogenase; respiratory electron transport chain; response to oxidative stress [CC] cytosol; membrane; mitochondrial inner membrane; mitochondrial membrane; mitochondrion; nucleoplasm [MF] 4 iron, 4 sulfur cluster binding; electron transfer activity; electron-transferring-flavoprotein dehydrogenase activity; flavin adenine dinucleotide binding; iron-sulfur cluster binding; metal ion binding; oxidoreductase activity; protein binding; quinone binding; ubiquinone binding"
SNCB,[BP] chemical synaptic transmission; dopamine metabolic process; negative regulation of neuron apoptotic process; neuron apoptotic process; synapse organization; synaptic vesicle endocytosis [CC] axon terminus; cytoplasm; cytosol; inclusion body; neuronal cell body; synapse [MF] calcium ion binding; cuprous ion binding; phospholipase inhibitor activity; protein binding; transition metal ion binding
SEPTIN7,"[BP] cell differentiation; cell division; cilium assembly; cytoskeleton-dependent cytokinesis; positive regulation of non-motile cilium assembly; protein localization; regulation of embryonic cell shape; spermatogenesis [CC] apical plasma membrane; axoneme; cell division site; cell projection; chromosome; chromosome, centromeric region; cilium; cleavage furrow; cytoplasm; cytoskeleton; cytosol; extracellular exosome; kinetochore; microtubule cytoskeleton; midbody; motile cilium; non-motile cilium; nucleus; septin complex; septin ring; sperm annulus; spindle; stress fiber [MF] GTP binding; GTPase activity; cadherin binding; identical protein binding; molecular adaptor activity; nucleotide binding; protein binding; structural molecule activity"
ADRM1,"[BP] proteasome assembly; proteasome-mediated ubiquitin-dependent protein catabolic process; transcription elongation by RNA polymerase II [CC] cytoplasm; cytosol; nucleoplasm; nucleus; plasma membrane; proteasome complex; proteasome regulatory particle, lid subcomplex [MF] endopeptidase activator activity; molecular function inhibitor activity; protease binding; proteasome binding; protein binding"
CCDC6,[BP] cytoskeleton organization [CC] cytoplasm; cytoskeleton; cytosol [MF] SH3 domain binding; identical protein binding; protein binding; structural constituent of cytoskeleton
ENOX2,[BP] electron transport chain; rhythmic process; ultradian rhythm [CC] cytosol; external side of plasma membrane; extracellular region; membrane; plasma membrane [MF] RNA binding; nucleic acid binding; oxidoreductase activity
UAP1,"[BP] UDP-N-acetylglucosamine biosynthetic process; antiviral innate immune response; immune system process; innate immune response; positive regulation of type I interferon production [CC] cytoplasm; cytosol; nucleoplasm; plasma membrane [MF] UDP-N-acetylgalactosamine diphosphorylase activity; UDP-N-acetylglucosamine diphosphorylase activity; identical protein binding; nucleotidyltransferase activity; protein serine pyrophosphorylase activity; transferase activity; transferase activity, transferring phosphorus-containing groups; uridylyltransferase activity"
NFE2L2,"[BP] PERK-mediated unfolded protein response; aflatoxin catabolic process; cell redox homeostasis; cellular response to angiotensin; cellular response to copper ion; cellular response to fluid shear stress; cellular response to glucose starvation; cellular response to hydrogen peroxide; cellular response to hypoxia; cellular response to laminar fluid shear stress; cellular response to methionine; cellular response to oxidative stress; cellular response to tumor necrosis factor; cellular response to xenobiotic stimulus; endoplasmic reticulum unfolded protein response; gene expression; inflammatory response; integrated stress response signaling; negative regulation of cardiac muscle cell apoptotic process; negative regulation of cellular response to hypoxia; negative regulation of endothelial cell apoptotic process; negative regulation of ferroptosis; negative regulation of hematopoietic stem cell differentiation; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway; negative regulation of vascular associated smooth muscle cell migration; positive regulation of D-glucose import; positive regulation of DNA-templated transcription; positive regulation of ERAD pathway; positive regulation of angiogenesis; positive regulation of blood coagulation; positive regulation of blood vessel endothelial cell migration; positive regulation of gene expression; positive regulation of glutathione biosynthetic process; positive regulation of neuron projection development; positive regulation of reactive oxygen species metabolic process; positive regulation of transcription by RNA polymerase II; positive regulation of ubiquitin-dependent protein catabolic process; proteasomal ubiquitin-independent protein catabolic process; proteasome-mediated ubiquitin-dependent protein catabolic process; protein ubiquitination; reactive oxygen species metabolic process; regulation of DNA-templated transcription; regulation of cellular response to oxidative stress; regulation of embryonic development; regulation of innate immune response; regulation of removal of superoxide radicals; regulation of transcription by RNA polymerase II; response to caloric restriction; response to endoplasmic reticulum stress; response to ischemia; response to oxidative stress; response to xenobiotic stimulus [CC] Golgi apparatus; RNA polymerase II transcription regulator complex; centrosome; chromatin; ciliary basal body; cytoplasm; cytosol; mediator complex; nucleoplasm; nucleus; plasma membrane; protein-DNA complex [MF] DNA binding; DNA-binding transcription activator activity, RNA polymerase II-specific; DNA-binding transcription factor activity; DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; RNA polymerase II-specific DNA-binding transcription factor binding; molecular condensate scaffold activity; protein binding; protein domain specific binding; sequence-specific DNA binding; transcription cis-regulatory region binding; transcription coregulator binding; ubiquitin protein ligase binding"
E2F4,"[BP] animal organ morphogenesis; blood circulation; cell projection organization; cell volume homeostasis; centriole assembly; cilium assembly; epithelial cell development; motile cilium assembly; multi-ciliated epithelial cell differentiation; positive regulation of transcription by RNA polymerase II; regulation of DNA-templated transcription; regulation of cell population proliferation; regulation of cell size; regulation of transcription by RNA polymerase II [CC] RNA polymerase II transcription regulator complex; chromatin; cytoplasm; nucleoplasm; nucleus; transcription regulator complex [MF] DNA binding; DNA-binding transcription activator activity; DNA-binding transcription activator activity, RNA polymerase II-specific; DNA-binding transcription factor activity; DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; chromatin binding; promoter-specific chromatin binding; protein binding; protein dimerization activity; protein domain specific binding; sequence-specific double-stranded DNA binding"
IGFBP7,[BP] angiogenesis; cell adhesion; cellular response to hormone stimulus; cellular response to prostaglandin E stimulus; embryo implantation; negative regulation of cell population proliferation; regulation of cell growth; regulation of signal transduction; regulation of steroid biosynthetic process; response to cortisol; response to retinoic acid; signal transduction [CC] endoplasmic reticulum lumen; extracellular exosome; extracellular matrix; extracellular region; extracellular space [MF] extracellular matrix structural constituent; growth factor binding; insulin-like growth factor binding; protein binding; receptor ligand activity
